,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_fit_prior,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,mean_train_f1,std_train_f1
0,0.04447627067565918,0.003070272810829737,0.0382460355758667,0.011152257010328154,0.25,True,"{'alpha': 0.25, 'fit_prior': True}",0.7984361424847958,0.7993049522154648,0.7996523250760539,0.8109517601043025,0.8020862949701542,0.005137610392381287,6,0.8048957126303592,0.8047508690614137,0.8024619840695149,0.8017378711078929,0.803461609217295,0.0013864853993911259,0.7308626974483596,0.7304663840096911,0.7326007326007326,0.741421568627451,0.7338378456715586,0.0044514481719206975,6,0.7358797236895571,0.7359756097560975,0.7342543681430312,0.7322834645669292,0.7345982915389038,0.0015013145107331378,0.9828431372549019,0.9860997547015535,0.9811937857726901,0.9893704006541292,0.9848767695958187,0.003138010635598265,10,0.9871899700190788,0.9866485013623978,0.9847411444141689,0.988283378746594,0.98671574863556,0.0012831537429795917,0.8383275261324041,0.8392484342379959,0.8388675288360712,0.8476357267950964,0.841019804000392,0.003833693837607192,2,0.8432080083808636,0.8430733410942955,0.8412476722532587,0.8412385480691175,0.8421918924493837,0.0009499816558728661
1,0.03719133138656616,0.017814349014952224,0.04901200532913208,0.02604861153792341,0.25,False,"{'alpha': 0.25, 'fit_prior': False}",0.8036490008688097,0.8010425716768028,0.8013906996957845,0.8152976966536288,0.8053449922237564,0.005832665859280797,1,0.8060544611819235,0.8075028968713789,0.8066618392469225,0.8039102099927589,0.8060323518232458,0.0013287900443259856,0.7406483790523691,0.7380211574362165,0.739375,0.749375,0.7418548841221464,0.0044400192246607665,1,0.7425062447960034,0.7433977957995426,0.7426730409478279,0.7398508699254349,0.7421069878672022,0.0013449977203176479,0.9705882352941176,0.9697465249386754,0.9672935404742437,0.9803761242845462,0.9720011062478958,0.0049845121085066385,16,0.9721995094031071,0.9741144414168937,0.9735694822888283,0.9732970027247957,0.9732951089584062,0.0006976618761801755,0.8401697312588402,0.8381625441696113,0.8381154799858306,0.8494509387176763,0.8414746735329897,0.004679157585568545,1,0.8419686061607459,0.8432598183748082,0.8425893172974885,0.840668392562956,0.8421215335989997,0.0009551857792354341
2,0.024666428565979004,0.0025875089455851146,0.049333035945892334,0.0007476857649368546,0.5,True,"{'alpha': 0.5, 'fit_prior': True}",0.7962641181581234,0.7993049522154648,0.7996523250760539,0.8109517601043025,0.8015432888884861,0.005589607978670866,7,0.8037369640787949,0.8037369640787949,0.8010137581462708,0.8,0.8021219215759652,0.0016543353599974317,0.7283726557773744,0.7301875378100423,0.7323170731707317,0.7408312958435208,0.7329271406504173,0.004772227148517824,8,0.734685598377282,0.7348346520592413,0.7325769854132901,0.7304207771290517,0.7331295032447163,0.0018007941071231347,0.9836601307189542,0.9869174161896974,0.982011447260834,0.9910057236304171,0.9858986794499758,0.003436618953248094,9,0.9871899700190788,0.9869209809264305,0.9852861035422343,0.9885558583106268,0.9869882281995926,0.0011618858024441652,0.8369829683698297,0.8393602225312934,0.8389800908138316,0.8478488982161596,0.8407930449827786,0.004172575093504489,3,0.8424235376206536,0.8424235376206536,0.8403439460841274,0.8401065184670604,0.8413243849481238,0.0011023534286687424
3,0.026550590991973877,0.007561239086414056,0.035110294818878174,0.017366631132377054,0.5,False,"{'alpha': 0.5, 'fit_prior': False}",0.8036490008688097,0.8006081668114683,0.7996523250760539,0.8126901347240331,0.8041499068700914,0.0051468087990587524,2,0.8051853997682503,0.8067786790266512,0.8055032585083273,0.8033309196234613,0.8051995642316726,0.0012326665255873723,0.7406483790523691,0.7372670807453416,0.7375311720698254,0.7465753424657534,0.7405054935833224,0.003748245852651049,2,0.741479634247714,0.7424242424242424,0.7414401328076364,0.7391394290442698,0.7411208596309656,0.0012099099618017404,0.9705882352941176,0.9705641864268193,0.9672935404742437,0.9803761242845462,0.9722055216199318,0.004903975503466945,15,0.9724720632324885,0.9746594005449591,0.9735694822888283,0.9735694822888283,0.9735676070887761,0.0007733427966891777,0.8401697312588402,0.8379809389339923,0.836929607357623,0.847649346058678,0.8406824059022833,0.004188750145639713,5,0.8414102110600165,0.8428369462770972,0.8417952644598893,0.840310442144873,0.8415882159854691,0.0009036852539997256
4,0.0411190390586853,0.023679965847588948,0.04706305265426636,0.015077321750526364,0.75,True,"{'alpha': 0.75, 'fit_prior': True}",0.7962641181581234,0.7984361424847958,0.7992177314211213,0.8109517601043025,0.8012174380420858,0.005723347696731924,8,0.8033024333719583,0.8031575898030128,0.8004344677769732,0.7991310644460535,0.8015063888494994,0.0017848964481776749,0.7283726557773744,0.7284768211920529,0.7315885575167377,0.7405372405372406,0.7322438187558514,0.004959495578864335,9,0.733859542602712,0.7341438703140831,0.7319838056680162,0.7295395133722099,0.7323816829892553,0.0018388588648726313,0.9836601307189542,0.9893704006541292,0.9828291087489779,0.9918233851185609,0.9869207563101556,0.003788462275642215,8,0.988280185336604,0.9871934604904632,0.9852861035422343,0.9885558583106268,0.9873289019199821,0.0012846917642223186,0.8369829683698297,0.8391123439667129,0.8387997208653175,0.847955260398462,0.8407125734000805,0.004259876984648809,4,0.8422764227642277,0.8420685647879139,0.8399535423925668,0.8395233136642369,0.8409554609022364,0.0012287012363135525
5,0.031762003898620605,0.003007556010496001,0.041940271854400635,0.004820859188527108,0.75,False,"{'alpha': 0.75, 'fit_prior': False}",0.8019113814074718,0.8006081668114683,0.7992177314211213,0.8126901347240331,0.8036068535910236,0.005330036066732839,3,0.8044611819235226,0.805909617612978,0.8047791455467053,0.8031860970311369,0.8045840105285857,0.0009701238104050049,0.7388059701492538,0.7372670807453416,0.7367766023646546,0.7465753424657534,0.7398562489312509,0.003950864409068601,3,0.7407099854681337,0.7415008291873963,0.7406716417910447,0.7388877403349183,0.7404425491953732,0.0009567383016589537,0.9705882352941176,0.9705641864268193,0.9681112019623875,0.9803761242845462,0.9724099369919678,0.004708095556052223,13,0.9724720632324885,0.9746594005449591,0.9735694822888283,0.973841961852861,0.9736357269797843,0.0007824548016916298,0.8389830508474577,0.8379809389339923,0.8367491166077737,0.847649346058678,0.8403406131119755,0.004293234851315265,7,0.840914447325006,0.8422415822933835,0.8412997409936426,0.8402492065357939,0.8411762442869565,0.000720786574838088
6,0.029481709003448486,0.005351922020187101,0.05171966552734375,0.004595993925885946,1,True,"{'alpha': 1, 'fit_prior': True}",0.7953953084274544,0.7980017376194614,0.7987831377661886,0.8105171664493699,0.8006743375656186,0.005819554455238793,9,0.8027230590961761,0.8025782155272306,0.8002896451846488,0.7988414192614047,0.8011080847673651,0.0016261182614041958,0.7272178636089318,0.7280385078219013,0.7308626974483596,0.7400854179377669,0.7315511217042399,0.005109396299090268,10,0.7332659251769464,0.733549301478032,0.7316481294236603,0.7292462311557789,0.7319273968086044,0.0017094496541103562,0.9844771241830066,0.9893704006541292,0.9836467702371219,0.9918233851185609,0.9873294200482046,0.003393332625201823,7,0.988280185336604,0.9871934604904632,0.9858310626702997,0.9885558583106268,0.9874651417019984,0.0010721454902655838,0.8365150989239847,0.8388214904679376,0.8386197281282677,0.8476589797344514,0.8404038243136603,0.004285039233606671,6,0.8418853029951243,0.8416773144383785,0.8399303540336623,0.8393290919606708,0.840705515856959,0.0010990574107842177
7,0.029960691928863525,0.004264323178399331,0.054098308086395264,0.005304388568710251,1,False,"{'alpha': 1, 'fit_prior': False}",0.8010425716768028,0.8001737619461338,0.7992177314211213,0.8122555410691004,0.8031724015282895,0.005283721560470575,4,0.8044611819235226,0.8053302433371958,0.8043446777697321,0.8024619840695149,0.8041495217749913,0.001046076577661166,0.737888198757764,0.7368094351334574,0.7367766023646546,0.746110765401369,0.7393962504143112,0.003902342261756612,4,0.7406100850798921,0.7408864954432477,0.7401118243942846,0.7380264244426095,0.7399087073400085,0.0011216333795428727,0.9705882352941176,0.9705641864268193,0.9681112019623875,0.9803761242845462,0.9724099369919678,0.004708095556052223,13,0.9727446170618698,0.9746594005449591,0.973841961852861,0.9741144414168937,0.973840105219146,0.0006976035640166953,0.8383909668313337,0.8376852505292872,0.8367491166077737,0.8473498233215548,0.8400437893224874,0.004258154779916462,8,0.8409519321394912,0.8418451400329489,0.8410401223673373,0.8397932816537468,0.840907619048381,0.0007314735479091892
8,0.03153163194656372,0.004913218293198276,0.047557532787323,0.006710497247147775,2,True,"{'alpha': 2, 'fit_prior': True}",0.7936576889661164,0.7966985230234579,0.7974793568013907,0.8083441981747066,0.7990449417414178,0.0055555242705231595,11,0.8017091541135574,0.8009849362688297,0.7988414192614047,0.7968139029688631,0.7995873531531636,0.001917271575468237,0.7251954299458809,0.7267267267267268,0.7295330503335354,0.7378345498783455,0.7298224392211221,0.004880325649815153,11,0.7319483662767244,0.7317319337908761,0.7300786766189228,0.726926926926927,0.7301714759033626,0.002007988918378982,0.9852941176470589,0.9893704006541292,0.9836467702371219,0.9918233851185609,0.9875336684142177,0.0032364648848104373,6,0.9890978468247479,0.9877384196185286,0.9861035422343324,0.9893732970027248,0.9880782764200834,0.0012972740525298966,0.8354693453411847,0.8379501385041551,0.8377437325905291,0.846180676665504,0.8393359732753433,0.0040699061565318976,10,0.8413121594992464,0.8406771799628941,0.8389938564970442,0.8380842469705713,0.839766860732439,0.0012889292067059038
9,0.027211308479309082,0.0031962418834531204,0.04483741521835327,0.011066945411950795,2,False,"{'alpha': 2, 'fit_prior': False}",0.7997393570807994,0.7988705473501303,0.7987831377661886,0.8113863537592351,0.8021948489890883,0.0053198673692711074,5,0.8035921205098494,0.8041714947856315,0.8039102099927589,0.8020275162925417,0.8034253353951955,0.0008327023371998313,0.7362229102167183,0.7354399008674102,0.736318407960199,0.745183343691734,0.7382911406840155,0.003993785248885842,5,0.7393914303456841,0.7394628099173554,0.7395531650806785,0.7368854145237606,0.7388232049668696,0.0011202508807150533,0.9714052287581699,0.9705641864268193,0.9681112019623875,0.9803761242845462,0.9726141853579808,0.004641891506668106,12,0.9735622785500136,0.9752043596730245,0.9741144414168937,0.9760217983651226,0.9747257195012636,0.0009534375410641286,0.8376188798872843,0.836799436023969,0.8364535499823383,0.8467514124293786,0.8394058195807426,0.004262042315389138,9,0.840470588235294,0.8411280846063455,0.8407808090310442,0.8397608721134685,0.8405350884965381,0.0005038834832673594
10,0.027635514736175537,0.009078141759991483,0.0441969633102417,0.016066400945941604,10,True,"{'alpha': 10, 'fit_prior': True}",0.7862728062554301,0.7858384013900955,0.7926988265971316,0.7974793568013907,0.790572347761012,0.004825064546855123,12,0.7924391657010429,0.7931633835457705,0.7900072411296162,0.788848660391021,0.7911146126918627,0.0017544738735952138,0.7170818505338078,0.7147058823529412,0.7230861244019139,0.7267825044937088,0.7204140904455929,0.004779746996721714,12,0.721913457721318,0.7233067729083665,0.7198890649762282,0.7183181997631267,0.7208568738422598,0.0019039363834453548,0.9877450980392157,0.9934587080948487,0.9885527391659853,0.9918233851185609,0.9903949826046528,0.0023367978474009223,5,0.9912782774597984,0.9893732970027248,0.9901907356948229,0.9915531335149864,0.9905988609180831,0.0008718968022143579,0.8309278350515464,0.8313376667807048,0.8352331606217617,0.838865836791148,0.8340911248112902,0.0032283917634517412,12,0.835419777190766,0.8356731875719218,0.8336774489561826,0.8331043956043956,0.8344687023308165,0.001100311641297041
11,0.03618931770324707,0.016083366078736203,0.05734175443649292,0.025680460513437944,10,False,"{'alpha': 10, 'fit_prior': False}",0.7945264986967854,0.7953953084274544,0.7970447631464581,0.8109517601043025,0.7994795825937501,0.006684937137520002,10,0.802143684820394,0.802143684820394,0.799275887038378,0.8002896451846488,0.8009632254659538,0.0012336723571827566,0.7293830177153329,0.7303921568627451,0.7327586206896551,0.741717791411043,0.733562896669694,0.004865032042315616,7,0.7360114777618364,0.7359688652191725,0.7337290216946377,0.7325888324873097,0.7345745492907391,0.0014719772823080595,0.9754901960784313,0.9746524938675388,0.9730171708912511,0.9885527391659853,0.9779281500008016,0.006198248808622543,11,0.9787408013082584,0.9790190735694823,0.9768392370572208,0.9831062670299727,0.9794263447412335,0.002284228197098119,0.834673191191891,0.8350262697022767,0.8359676852827538,0.8475289169295479,0.8382990157766174,0.0053498515855770565,11,0.8401965372016845,0.8402712815715623,0.8380084151472651,0.8395578824898197,0.8395085291025829,0.0009093849719913092
12,0.026826441287994385,0.01085916803508088,0.0429764986038208,0.012762714378224096,100.0,True,"{'alpha': 100.0, 'fit_prior': True}",0.7445699391833188,0.7476107732406603,0.7422859626249457,0.7453281182094741,0.7449486983145998,0.0019015928981430657,14,0.7447856315179606,0.7463789107763615,0.7465604634322954,0.7436640115858074,0.7453472543281062,0.001192153269098797,0.6764705882352942,0.6781354051054383,0.6742256637168141,0.6766500277315585,0.6763704211972763,0.0013967252857655954,14,0.676150009237022,0.6777180959436933,0.6777777777777778,0.6752120988565106,0.676714495453751,0.0010855440419758307,0.9959150326797386,0.9991823385118561,0.9967293540474244,0.9975470155355682,0.9973434351936469,0.0012083500905390881,3,0.9975470155355682,0.9970027247956403,0.997275204359673,0.9975476839237057,0.9973431571536467,0.00022577710919015765,0.8056840713813616,0.8079338842975208,0.8043549983503794,0.806345009914078,0.8060794909858349,0.0012883619802895895,14,0.8059898700726712,0.8069246884992832,0.807056229327453,0.8053233611966564,0.8063235372740158,0.0007088558435580911
13,0.03014194965362549,0.001381783425055337,0.04249602556228638,0.004174560388773227,100.0,False,"{'alpha': 100.0, 'fit_prior': False}",0.7688966116420504,0.7697654213727194,0.7727075184702303,0.7796610169491526,0.7727576421085381,0.0042284760187376,13,0.7734646581691773,0.7749130938586327,0.7723388848660391,0.7711803041274439,0.7729742352553233,0.0013803574108540127,0.6995386389850058,0.699252443933295,0.7025462962962963,0.7086247086247086,0.7024905219598264,0.0037692877052292206,13,0.7027547678674629,0.704642166344294,0.7022753567296568,0.700652841781874,0.702581283180822,0.0014221298791495945,0.9910130718954249,0.9942763695829926,0.9926410466067048,0.9942763695829926,0.9930517144170288,0.0013531696061813104,4,0.9942763695829926,0.9926430517711171,0.9923705722070845,0.9942779291553133,0.9933919806791269,0.0008903957282790885,0.8201487491548344,0.8210668467251857,0.8227719417146729,0.8274923443348078,0.8228699704823752,0.002829852048612871,13,0.8234762979683974,0.8242081447963802,0.8224932249322494,0.8220319891867538,0.8230524142209452,0.0008469578657386032
14,0.032978177070617676,0.008708808063220823,0.05046236515045166,0.007853438319927556,10000.0,True,"{'alpha': 10000.0, 'fit_prior': True}",0.5317115551694179,0.5312771503040834,0.5315080399826162,0.5315080399826162,0.5315011963596834,0.00015373771025071993,16,0.5314310544611819,0.5315758980301275,0.5314989138305576,0.5314989138305576,0.5315011950381061,5.1260719278923485e-05,0.5317115551694179,0.5312771503040834,0.5315080399826162,0.5315080399826162,0.5315011963596834,0.00015373771025071993,16,0.5314310544611819,0.5315758980301275,0.5314989138305576,0.5314989138305576,0.5315011950381061,5.1260719278923485e-05,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.6942711287577992,0.6939007092198581,0.6940976163450624,0.6940976163450624,0.6940917676669455,0.00013109361653708038,16,0.6940319682209402,0.6941554756951013,0.6940898345153665,0.6940898345153665,0.6940917782366937,4.3709725168489606e-05
15,0.04100900888442993,0.008502199909990685,0.05004245042800903,0.012523430063044714,10000.0,False,"{'alpha': 10000.0, 'fit_prior': False}",0.6207645525629887,0.6264118158123371,0.6279878313776619,0.6227727075184702,0.6244842268178645,0.0028616480879743874,15,0.6248551564310545,0.6216685979142526,0.6250543084721216,0.6262128892107168,0.6244477380070363,0.0016862158764906234,0.5836909871244635,0.5871339414306289,0.5882635882635883,0.5848876135820181,0.5859940326001747,0.0018012812494174984,15,0.5861958779357724,0.5842088506844954,0.5863556478670714,0.5871060630299152,0.5859666098793135,0.0010714459000592425,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.7371273712737128,0.7398669086509377,0.74076317383404,0.7380808690404345,0.7389595806997812,0.0014322462922051308,15,0.7391216760676873,0.737540192926045,0.7392486655252292,0.7398447737123274,0.7389388270578222,0.0008524010810168858
