,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_fit_prior,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,mean_train_f1,std_train_f1,Feature_Selector,Chosen_columns
0,0.06203508377075195,2.4777185548337135e-06,0.025976240634918213,0.009691134529228039,0.25,True,"{'alpha': 0.25, 'fit_prior': True}",0.8097306689834927,0.8066898349261512,0.8013906996957845,0.8022598870056498,0.8050177726527695,0.0033826312076581534,6,0.8047508690614137,0.8072132097334879,0.8066618392469225,0.8065170166545981,0.8062857336741056,0.0009234403661025637,0.7403551745254133,0.7376449054301403,0.7318401937046005,0.7327272727272728,0.7356418865968567,0.0035062448003443957,7,0.734925131525698,0.7376016260162601,0.7371521430022344,0.7371951219512195,0.7367185056238531,0.0010501543675646232,0.9885527391659853,0.9877450980392157,0.9885527391659853,0.9885527391659853,0.9883508288842928,0.00034971886646176573,10,0.9896457765667575,0.9890978468247479,0.9888283378746594,0.988283378746594,0.9889638350031897,0.0004910151864807143,0.8466386554621849,0.8445686342996856,0.8410434782608696,0.8416289592760181,0.8434699318246895,0.0022652159633090533,5,0.8434742220157919,0.8450343462568402,0.8446409868497615,0.8444703143189756,0.8444049673603423,0.0005749739377022644,SelectKBest,"Index(['statuses_count', 'user_subscription_in_secs', 'n_tweets',
       '2015_tweets', '2016_tweets', '2017_tweets', '2018_tweets',
       '2019_tweets', '2020_tweets', 'publication_date_in_secs_std',
       'retweet_count_std', 'retweet_count_sum', 'reply_count_entropy',
       'favorite_count_mean', 'favorite_count_std', 'num_hashtags_mean',
       'num_hashtags_std', 'num_hashtags_sum', 'num_urls_mean', 'num_urls_std',
       'num_urls_sum', 'num_mentions_mean', 'num_mentions_std',
       'tweeting_regularity', 'max_daily_tweets'],
      dtype='object')"
1,0.041068851947784424,0.021999269529515985,0.028743863105773926,0.003463443808921108,0.25,False,"{'alpha': 0.25, 'fit_prior': False}",0.8210251954821894,0.8114682884448305,0.8070404172099087,0.8070404172099087,0.8116435795867093,0.005710158744052824,1,0.8075028968713789,0.811558516801854,0.8115858073859522,0.8117306299782766,0.8105944627593654,0.001786114494831686,0.7548711502199874,0.7487405541561712,0.7435897435897436,0.743894802755166,0.747774062680267,0.0045787536824245,1,0.7438033742970215,0.7476987447698745,0.7477515164191592,0.7484276729559748,0.7469203271105075,0.0018223814130538894,0.982011447260834,0.9714052287581699,0.9721995094031071,0.9713818479149632,0.9742495083342686,0.004493428371103675,16,0.9730245231607629,0.9741073862087762,0.9741144414168937,0.9727520435967303,0.9734995985957908,0.0006188644081597434,0.853589196872779,0.8456614509246088,0.8426647767540751,0.8425531914893618,0.8461171540102062,0.004490540819628045,1,0.8431117931767206,0.8460172801514972,0.8460537214530826,0.8459715639810427,0.8452885896905857,0.001257111107460828,SelectKBest,"Index(['statuses_count', 'user_subscription_in_secs', 'n_tweets',
       '2015_tweets', '2016_tweets', '2017_tweets', '2018_tweets',
       '2019_tweets', '2020_tweets', 'publication_date_in_secs_std',
       'retweet_count_std', 'retweet_count_sum', 'reply_count_entropy',
       'favorite_count_mean', 'favorite_count_std', 'num_hashtags_mean',
       'num_hashtags_std', 'num_hashtags_sum', 'num_urls_mean', 'num_urls_std',
       'num_urls_sum', 'num_mentions_mean', 'num_mentions_std',
       'tweeting_regularity', 'max_daily_tweets'],
      dtype='object')"
2,0.021572470664978027,0.004378085809806674,0.029230594635009766,0.010188662043652806,0.5,True,"{'alpha': 0.5, 'fit_prior': True}",0.8075586446568201,0.8066898349261512,0.8005215123859192,0.8013906996957845,0.8040401729161688,0.0031145237368487176,7,0.8025782155272306,0.804316338354577,0.8046343229543809,0.8047791455467053,0.8040770055957234,0.0008813703801323835,0.7380952380952381,0.7376449054301403,0.7306763285024155,0.7318401937046005,0.7345641664330985,0.0033352185480084316,8,0.7326073805202662,0.7346153846153847,0.7350617784079401,0.7354014598540146,0.7344215008494015,0.0010838471393587116,0.9885527391659853,0.9877450980392157,0.9893704006541292,0.9885527391659853,0.9885552442563288,0.00057463671065569,9,0.9899182561307902,0.9890978468247479,0.9888283378746594,0.988283378746594,0.9890319548941979,0.0005898512032504251,0.8451590353023419,0.8445686342996856,0.8405696422368878,0.8410434782608696,0.8428351975249463,0.002046217470858327,7,0.8420442693243714,0.8430712045533745,0.8432671081677704,0.8432922576145083,0.8429187099150062,0.0005120596126461561,SelectKBest,"Index(['statuses_count', 'user_subscription_in_secs', 'n_tweets',
       '2015_tweets', '2016_tweets', '2017_tweets', '2018_tweets',
       '2019_tweets', '2020_tweets', 'publication_date_in_secs_std',
       'retweet_count_std', 'retweet_count_sum', 'reply_count_entropy',
       'favorite_count_mean', 'favorite_count_std', 'num_hashtags_mean',
       'num_hashtags_std', 'num_hashtags_sum', 'num_urls_mean', 'num_urls_std',
       'num_urls_sum', 'num_mentions_mean', 'num_mentions_std',
       'tweeting_regularity', 'max_daily_tweets'],
      dtype='object')"
3,0.017222285270690918,0.003883403425626692,0.03250545263290405,0.0092217703131118,0.5,False,"{'alpha': 0.5, 'fit_prior': False}",0.819721980886186,0.8114682884448305,0.8057366362451108,0.8061712299000434,0.8107745338690427,0.005637129664914486,2,0.8070683661645423,0.811268829663963,0.8107168718320058,0.8105720492396814,0.8099065292250481,0.0016591115148187057,0.7534504391468005,0.7484276729559748,0.7421972534332085,0.7429643527204502,0.7467599295641085,0.004548865340631849,2,0.743237619642114,0.7472826086956522,0.7467112131969096,0.7469677959012966,0.7460498093589931,0.0016361814948874663,0.982011447260834,0.9722222222222222,0.9721995094031071,0.9713818479149632,0.9744537567002816,0.004376547931816978,14,0.9732970027247957,0.9743799400381575,0.9743869209809264,0.9732970027247957,0.9738402166171688,0.0005432194994313201,0.8526801561945332,0.845771144278607,0.8417699115044247,0.8419560595322465,0.8455443178774528,0.004418522946768269,2,0.8428504011326096,0.8458535431207855,0.8454900106395555,0.8452437292948416,0.844859421046948,0.0011800186203619252,SelectKBest,"Index(['statuses_count', 'user_subscription_in_secs', 'n_tweets',
       '2015_tweets', '2016_tweets', '2017_tweets', '2018_tweets',
       '2019_tweets', '2020_tweets', 'publication_date_in_secs_std',
       'retweet_count_std', 'retweet_count_sum', 'reply_count_entropy',
       'favorite_count_mean', 'favorite_count_std', 'num_hashtags_mean',
       'num_hashtags_std', 'num_hashtags_sum', 'num_urls_mean', 'num_urls_std',
       'num_urls_sum', 'num_mentions_mean', 'num_mentions_std',
       'tweeting_regularity', 'max_daily_tweets'],
      dtype='object')"
4,0.017718911170959473,0.0036970348254820487,0.02239525318145752,0.003976078506768064,0.75,True,"{'alpha': 0.75, 'fit_prior': True}",0.8066898349261512,0.8049522154648132,0.7987831377661886,0.7987831377661886,0.8023020814808354,0.0035721674150163874,9,0.8017091541135574,0.8031575898030128,0.8036205648081101,0.8037653874004345,0.8030631740312786,0.0008133376250758328,0.7369062119366626,0.7358490566037735,0.7289156626506024,0.7291917973462002,0.7327156821343097,0.003682271298625364,9,0.731628749748339,0.7334276475343573,0.7339264051758997,0.7340748230535895,0.7332644063780464,0.0009742994767751021,0.9893704006541292,0.9877450980392157,0.9893704006541292,0.9885527391659853,0.9887596596283648,0.0006741959094045821,7,0.9901907356948229,0.9890978468247479,0.989100817438692,0.989100817438692,0.9893725543492387,0.0004723787768784305,0.8446771378708552,0.8433903034530867,0.8394033992369059,0.8392919125303714,0.8416906882728048,0.002387121130094289,8,0.8414958897765427,0.8422884994777764,0.8426183844011143,0.8427161926871736,0.8422797415856518,0.00047949684039679544,SelectKBest,"Index(['statuses_count', 'user_subscription_in_secs', 'n_tweets',
       '2015_tweets', '2016_tweets', '2017_tweets', '2018_tweets',
       '2019_tweets', '2020_tweets', 'publication_date_in_secs_std',
       'retweet_count_std', 'retweet_count_sum', 'reply_count_entropy',
       'favorite_count_mean', 'favorite_count_std', 'num_hashtags_mean',
       'num_hashtags_std', 'num_hashtags_sum', 'num_urls_mean', 'num_urls_std',
       'num_urls_sum', 'num_mentions_mean', 'num_mentions_std',
       'tweeting_regularity', 'max_daily_tweets'],
      dtype='object')"
5,0.020485401153564453,0.005002134642200718,0.027158617973327637,0.0058418660683779745,0.75,False,"{'alpha': 0.75, 'fit_prior': False}",0.8188531711555169,0.8097306689834927,0.8053020425901782,0.8061712299000434,0.8100142781573078,0.005366112362433489,3,0.8066338354577057,0.8106894553881807,0.8102824040550326,0.8099927588703838,0.8093996134428256,0.0016158868207740613,0.7525062656641605,0.7465495608531995,0.7417342482844667,0.7429643527204502,0.7459386068805692,0.004184203199772996,3,0.7426730409478279,0.7465553235908142,0.7462437395659433,0.7463435018804847,0.7454539014962676,0.0016094680052840301,0.982011447260834,0.9722222222222222,0.9721995094031071,0.9713818479149632,0.9744537567002816,0.004376547931816978,14,0.9735694822888283,0.9746524938675388,0.9743869209809264,0.9732970027247957,0.9739764749655223,0.000559641191355068,0.8520752039730402,0.8445706174591909,0.8414720452937013,0.8419560595322465,0.8450184815645447,0.004241271988875653,3,0.8425893172974885,0.8454900106395554,0.8451902623493264,0.8448438978240304,0.8445283720276001,0.0011426216994897343,SelectKBest,"Index(['statuses_count', 'user_subscription_in_secs', 'n_tweets',
       '2015_tweets', '2016_tweets', '2017_tweets', '2018_tweets',
       '2019_tweets', '2020_tweets', 'publication_date_in_secs_std',
       'retweet_count_std', 'retweet_count_sum', 'reply_count_entropy',
       'favorite_count_mean', 'favorite_count_std', 'num_hashtags_mean',
       'num_hashtags_std', 'num_hashtags_sum', 'num_urls_mean', 'num_urls_std',
       'num_urls_sum', 'num_mentions_mean', 'num_mentions_std',
       'tweeting_regularity', 'max_daily_tweets'],
      dtype='object')"
6,0.014824092388153076,0.0017389843906204768,0.02728480100631714,0.006561318521411411,1,True,"{'alpha': 1, 'fit_prior': True}",0.8053866203301477,0.8040834057341443,0.7974793568013907,0.798348544111256,0.8013244817442347,0.0034552070160383326,10,0.8008400926998841,0.8019988412514485,0.8026068066618393,0.8027516292541637,0.8020493424668339,0.0007531282148469929,0.7355623100303952,0.7349544072948329,0.7276007215874924,0.72875226039783,0.7317174248276376,0.0035707367369539906,10,0.7306532663316583,0.7321500605082695,0.7328891580860085,0.7330371567043619,0.7321824104075745,0.0009446443290649547,0.9893704006541292,0.9877450980392157,0.9893704006541292,0.9885527391659853,0.9887596596283648,0.0006741959094045821,7,0.9904632152588556,0.9893704006541292,0.989100817438692,0.989100817438692,0.9895088126975922,0.0005619080007643096,0.8437935843793584,0.8428023701638201,0.8385308385308384,0.8390006939625261,0.8410318717591357,0.002299052611847655,9,0.8409485251590515,0.8415439897994668,0.8419343615910936,0.8420320111343077,0.84161472192098,0.0004257701741807891,SelectKBest,"Index(['statuses_count', 'user_subscription_in_secs', 'n_tweets',
       '2015_tweets', '2016_tweets', '2017_tweets', '2018_tweets',
       '2019_tweets', '2020_tweets', 'publication_date_in_secs_std',
       'retweet_count_std', 'retweet_count_sum', 'reply_count_entropy',
       'favorite_count_mean', 'favorite_count_std', 'num_hashtags_mean',
       'num_hashtags_std', 'num_hashtags_sum', 'num_urls_mean', 'num_urls_std',
       'num_urls_sum', 'num_mentions_mean', 'num_mentions_std',
       'tweeting_regularity', 'max_daily_tweets'],
      dtype='object')"
7,0.025613903999328613,0.015778633951420016,0.027625441551208496,0.004105855057600081,1,False,"{'alpha': 1, 'fit_prior': False}",0.817984361424848,0.8088618592528236,0.8048674489352455,0.8061712299000434,0.8094712248782402,0.005121756049345987,4,0.8063441483198146,0.8103997682502897,0.809703113685735,0.8095582910934106,0.8090013303373125,0.0015667601940407695,0.7515644555694618,0.7456140350877193,0.7412718204488778,0.7426608369768894,0.7452777870207371,0.003953841799785429,4,0.7421631720988167,0.7462437395659433,0.7455189662359316,0.7458759657548549,0.7449504609138867,0.001629517269188086,0.982011447260834,0.9722222222222222,0.9721995094031071,0.9721995094031071,0.9746581720723175,0.004245425535566772,13,0.9741144414168937,0.9746524938675388,0.9746594005449591,0.9732970027247957,0.9741808346385469,0.0005561147963145834,0.8514711095356255,0.8439716312056738,0.8411743898125221,0.8420679886685551,0.8446712798055942,0.004053780855220917,4,0.8424649463885941,0.8452901548280345,0.8448275862068965,0.844544272372621,0.8442817399490364,0.0010821865389227252,SelectKBest,"Index(['statuses_count', 'user_subscription_in_secs', 'n_tweets',
       '2015_tweets', '2016_tweets', '2017_tweets', '2018_tweets',
       '2019_tweets', '2020_tweets', 'publication_date_in_secs_std',
       'retweet_count_std', 'retweet_count_sum', 'reply_count_entropy',
       'favorite_count_mean', 'favorite_count_std', 'num_hashtags_mean',
       'num_hashtags_std', 'num_hashtags_sum', 'num_urls_mean', 'num_urls_std',
       'num_urls_sum', 'num_mentions_mean', 'num_mentions_std',
       'tweeting_regularity', 'max_daily_tweets'],
      dtype='object')"
8,0.016602396965026855,0.004619474478809768,0.023281753063201904,0.003652508522723397,2,True,"{'alpha': 2, 'fit_prior': True}",0.8045178105994787,0.8014769765421372,0.7961755758365928,0.7970447631464581,0.7998037815311667,0.003383700290027376,11,0.798667439165701,0.7999710312862109,0.8002896451846488,0.8008689355539464,0.7999492627976268,0.0008070321924449453,0.7343844754396605,0.7322834645669292,0.7262905162064826,0.7271634615384616,0.7300304794378835,0.0034000124920001186,11,0.7284569138276553,0.7300884955752213,0.7303438568268651,0.7310247634386954,0.7299785074171092,0.0009427985336627272,0.9901880621422731,0.9877450980392157,0.9893704006541292,0.9893704006541292,0.9891684903724367,0.0008870044886901307,5,0.9904632152588556,0.9893704006541292,0.9896457765667575,0.9893732970027248,0.9897131723706167,0.00044724552650056085,0.8433147632311979,0.8410434782608697,0.8376600899965386,0.8382403879459648,0.8400646798586429,0.002271078027521165,11,0.8394919168591224,0.8401805346603403,0.8404489181996992,0.8408012041218015,0.8402306434602409,0.0004799508343136951,SelectKBest,"Index(['statuses_count', 'user_subscription_in_secs', 'n_tweets',
       '2015_tweets', '2016_tweets', '2017_tweets', '2018_tweets',
       '2019_tweets', '2020_tweets', 'publication_date_in_secs_std',
       'retweet_count_std', 'retweet_count_sum', 'reply_count_entropy',
       'favorite_count_mean', 'favorite_count_std', 'num_hashtags_mean',
       'num_hashtags_std', 'num_hashtags_sum', 'num_urls_mean', 'num_urls_std',
       'num_urls_sum', 'num_mentions_mean', 'num_mentions_std',
       'tweeting_regularity', 'max_daily_tweets'],
      dtype='object')"
9,0.01786518096923828,0.004280990612123437,0.02667480707168579,0.004343461115793042,2,False,"{'alpha': 2, 'fit_prior': False}",0.8166811468288445,0.8071242397914856,0.8035636679704476,0.803129074315515,0.8076245322265732,0.005453721685955708,5,0.804316338354577,0.8085168018539977,0.8076755973931934,0.808254887762491,0.8071909063410647,0.0016873145750947954,0.750156152404747,0.7434456928838952,0.7398879900435594,0.7391304347826086,0.7431550675287026,0.004358070575768574,5,0.7398138572905895,0.7441231537341377,0.7432488574989614,0.744375,0.7428902171309222,0.0018246455557624722,0.982011447260834,0.9730392156862745,0.9721995094031071,0.9730171708912511,0.9750668358103667,0.0040237283261922345,12,0.9746594005449591,0.9749250476969201,0.9749318801089918,0.9735694822888283,0.9745214526599248,0.0005604946144402009,0.8505665722379603,0.8428874734607219,0.8402826855123675,0.8400988351570772,0.8434588915920317,0.004249232493988545,6,0.8411522633744857,0.8440302029259084,0.8434700612918434,0.8436835891381346,0.8430840291825931,0.0011330773163793022,SelectKBest,"Index(['statuses_count', 'user_subscription_in_secs', 'n_tweets',
       '2015_tweets', '2016_tweets', '2017_tweets', '2018_tweets',
       '2019_tweets', '2020_tweets', 'publication_date_in_secs_std',
       'retweet_count_std', 'retweet_count_sum', 'reply_count_entropy',
       'favorite_count_mean', 'favorite_count_std', 'num_hashtags_mean',
       'num_hashtags_std', 'num_hashtags_sum', 'num_urls_mean', 'num_urls_std',
       'num_urls_sum', 'num_mentions_mean', 'num_mentions_std',
       'tweeting_regularity', 'max_daily_tweets'],
      dtype='object')"
