,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_random_state,param_splitter,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,mean_train_f1,std_train_f1,Feature_Selector,Chosen_columns
0,0.01103883981704712,0.0008647584568056499,0.01832646131515503,0.0017852194818452584,gini,4,sqrt,,0.0,1,2,42,random,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'random_state': 42, 'splitter': 'random'}",0.6476976542137272,0.6685490877497828,0.6445023902651021,0.6484137331594959,0.6522907163470271,0.009501577266763284,1599,0.6391946697566628,0.6825028968713789,0.6482259232440261,0.6441708906589428,0.6535235951327527,0.017034204120731044,0.6038306451612904,0.6196159833938765,0.5998028585510103,0.6033966033966034,0.6066615226256952,0.007640891496983334,1599,0.5978748132160053,0.6281006071118821,0.6029875518672199,0.6003972852176792,0.6073400643531967,0.012121650689886137,0.9795584627964022,0.9754901960784313,0.9950940310711366,0.9877350776778414,0.9844694419059529,0.00755464829375072,815,0.9811989100817439,0.9869174161896974,0.9899182561307902,0.988283378746594,0.9865794902872064,0.0032831170594157058,0.747115684440287,0.757854649317677,0.7484624846248462,0.7491472868217055,0.7506450263011291,0.00422615752570717,1599,0.7430104198906428,0.7676489294042825,0.7494584837545125,0.7469879518072289,0.7517764462141667,0.009448301021544364,SelectKBest,"Index(['statuses_count', 'n_tweets', '2018_tweets', '2019_tweets',
       '2020_tweets', 'publication_date_in_secs_std', 'retweet_count_std',
       'retweet_count_sum', 'num_hashtags_mean', 'num_hashtags_sum',
       'num_urls_std', 'num_mentions_mean', 'num_mentions_std',
       'tweeting_regularity', 'max_daily_tweets'],
      dtype='object')"
1,0.02258455753326416,0.0015017311365583157,0.01857656240463257,0.001505390176514017,gini,4,sqrt,,0.0,1,2,42,best,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'random_state': 42, 'splitter': 'best'}",0.8097306689834927,0.8071242397914856,0.7966101694915254,0.8100825727944372,0.8058869127652353,0.0054764716944910264,740,0.8083719582850522,0.8093858632676709,0.8107168718320058,0.8110065170166546,0.8098703026003459,0.0010591718248278512,0.7386018237082067,0.7392638036809815,0.7280966767371602,0.73992673992674,0.7364722610132721,0.004858281184409439,1394,0.7366404517039725,0.739271913768558,0.7394123606889564,0.74167177600654,0.7392491255420068,0.0017819637680811882,0.9934587080948487,0.9844771241830066,0.9852820932134096,0.9910057236304171,0.9885559122804206,0.0037879211341999945,658,0.9953678474114441,0.9907331698010357,0.9942779291553133,0.9888283378746594,0.9923018210606132,0.0026377676642952725,0.8472803347280334,0.8444288717589348,0.8373870743571925,0.847256204124432,0.8440881212421483,0.004038784357871565,653,0.846679800672152,0.8467272303750291,0.8481115630447414,0.8476001401378023,0.8472796835574311,0.0006041067571439354,SelectKBest,"Index(['statuses_count', 'n_tweets', '2018_tweets', '2019_tweets',
       '2020_tweets', 'publication_date_in_secs_std', 'retweet_count_std',
       'retweet_count_sum', 'num_hashtags_mean', 'num_hashtags_sum',
       'num_urls_std', 'num_mentions_mean', 'num_mentions_std',
       'tweeting_regularity', 'max_daily_tweets'],
      dtype='object')"
2,0.010084152221679688,0.002331315159775965,0.01769167184829712,0.0010759802260674623,gini,4,sqrt,,0.0,1,4,42,random,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 4, 'random_state': 42, 'splitter': 'random'}",0.6529105125977411,0.6685490877497828,0.6445023902651021,0.6484137331594959,0.6535939309430305,0.009132556278559025,1545,0.6446987253765932,0.6825028968713789,0.6482259232440261,0.6441708906589428,0.6548996090377353,0.016012830846072523,0.6062124248496994,0.6196159833938765,0.5998028585510103,0.6033966033966034,0.6072569675477973,0.0074883658839493975,1569,0.600395974261673,0.6281006071118821,0.6029875518672199,0.6003972852176792,0.6079703546146136,0.011670240000156547,0.9893704006541292,0.9754901960784313,0.9950940310711366,0.9877350776778414,0.9869224263703846,0.00714359841177735,738,0.9915531335149864,0.9869174161896974,0.9899182561307902,0.988283378746594,0.989168046145517,0.0017392116307939514,0.7517862690276483,0.757854649317677,0.7484624846248462,0.7491472868217055,0.7518126724479692,0.0037025066043689645,1545,0.7479190216832803,0.7676489294042825,0.7494584837545125,0.7469879518072289,0.7530035966623261,0.008501389333396689,SelectKBest,"Index(['statuses_count', 'n_tweets', '2018_tweets', '2019_tweets',
       '2020_tweets', 'publication_date_in_secs_std', 'retweet_count_std',
       'retweet_count_sum', 'num_hashtags_mean', 'num_hashtags_sum',
       'num_urls_std', 'num_mentions_mean', 'num_mentions_std',
       'tweeting_regularity', 'max_daily_tweets'],
      dtype='object')"
3,0.0205879807472229,0.0021677015466452414,0.024087250232696533,0.003398176944167464,gini,4,sqrt,,0.0,1,4,42,best,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 4, 'random_state': 42, 'splitter': 'best'}",0.8097306689834927,0.8071242397914856,0.7966101694915254,0.8100825727944372,0.8058869127652353,0.0054764716944910264,740,0.8083719582850522,0.8093858632676709,0.8107168718320058,0.8110065170166546,0.8098703026003459,0.0010591718248278512,0.7386018237082067,0.7392638036809815,0.7280966767371602,0.73992673992674,0.7364722610132721,0.004858281184409439,1394,0.7366404517039725,0.739271913768558,0.7394123606889564,0.74167177600654,0.7392491255420068,0.0017819637680811882,0.9934587080948487,0.9844771241830066,0.9852820932134096,0.9910057236304171,0.9885559122804206,0.0037879211341999945,658,0.9953678474114441,0.9907331698010357,0.9942779291553133,0.9888283378746594,0.9923018210606132,0.0026377676642952725,0.8472803347280334,0.8444288717589348,0.8373870743571925,0.847256204124432,0.8440881212421483,0.004038784357871565,653,0.846679800672152,0.8467272303750291,0.8481115630447414,0.8476001401378023,0.8472796835574311,0.0006041067571439354,SelectKBest,"Index(['statuses_count', 'n_tweets', '2018_tweets', '2019_tweets',
       '2020_tweets', 'publication_date_in_secs_std', 'retweet_count_std',
       'retweet_count_sum', 'num_hashtags_mean', 'num_hashtags_sum',
       'num_urls_std', 'num_mentions_mean', 'num_mentions_std',
       'tweeting_regularity', 'max_daily_tweets'],
      dtype='object')"
4,0.009165763854980469,0.0016345130029464573,0.02042168378829956,0.0009372736880346914,gini,4,sqrt,,0.0,1,8,42,random,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 8, 'random_state': 42, 'splitter': 'random'}",0.6529105125977411,0.6685490877497828,0.6445023902651021,0.6466753585397653,0.6531593372880979,0.009405996028694227,1573,0.6446987253765932,0.6825028968713789,0.6482259232440261,0.6408399710354815,0.6540668791318699,0.016624058417984283,0.6062124248496994,0.6196159833938765,0.5998028585510103,0.6031187122736419,0.607187494767057,0.007525057041524433,1573,0.600395974261673,0.6281006071118821,0.6029875518672199,0.5989687292082502,0.6076132156122562,0.011915805611064447,0.9893704006541292,0.9754901960784313,0.9950940310711366,0.9803761242845462,0.9850826880220609,0.0076285502090069485,765,0.9915531335149864,0.9869174161896974,0.9899182561307902,0.9811989100817439,0.9873969289793044,0.0039457729761466715,0.7517862690276483,0.757854649317677,0.7484624846248462,0.746807848022423,0.7512278127481485,0.004225220826818924,1573,0.7479190216832803,0.7676489294042825,0.7494584837545125,0.7438545755009295,0.7522202525857512,0.009139975052096279,SelectKBest,"Index(['statuses_count', 'n_tweets', '2018_tweets', '2019_tweets',
       '2020_tweets', 'publication_date_in_secs_std', 'retweet_count_std',
       'retweet_count_sum', 'num_hashtags_mean', 'num_hashtags_sum',
       'num_urls_std', 'num_mentions_mean', 'num_mentions_std',
       'tweeting_regularity', 'max_daily_tweets'],
      dtype='object')"
5,0.025837481021881104,0.0031745265149058124,0.024793565273284912,0.005485953652245435,gini,4,sqrt,,0.0,1,8,42,best,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 8, 'random_state': 42, 'splitter': 'best'}",0.8097306689834927,0.8071242397914856,0.7966101694915254,0.8100825727944372,0.8058869127652353,0.0054764716944910264,740,0.8083719582850522,0.8093858632676709,0.8107168718320058,0.8110065170166546,0.8098703026003459,0.0010591718248278512,0.7386018237082067,0.7392638036809815,0.7280966767371602,0.73992673992674,0.7364722610132721,0.004858281184409439,1394,0.7366404517039725,0.739271913768558,0.7394123606889564,0.74167177600654,0.7392491255420068,0.0017819637680811882,0.9934587080948487,0.9844771241830066,0.9852820932134096,0.9910057236304171,0.9885559122804206,0.0037879211341999945,658,0.9953678474114441,0.9907331698010357,0.9942779291553133,0.9888283378746594,0.9923018210606132,0.0026377676642952725,0.8472803347280334,0.8444288717589348,0.8373870743571925,0.847256204124432,0.8440881212421483,0.004038784357871565,653,0.846679800672152,0.8467272303750291,0.8481115630447414,0.8476001401378023,0.8472796835574311,0.0006041067571439354,SelectKBest,"Index(['statuses_count', 'n_tweets', '2018_tweets', '2019_tweets',
       '2020_tweets', 'publication_date_in_secs_std', 'retweet_count_std',
       'retweet_count_sum', 'num_hashtags_mean', 'num_hashtags_sum',
       'num_urls_std', 'num_mentions_mean', 'num_mentions_std',
       'tweeting_regularity', 'max_daily_tweets'],
      dtype='object')"
6,0.015118181705474854,0.004364835679977266,0.021908879280090332,0.0025525742257692585,gini,4,sqrt,,0.0,1,16,42,random,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 16, 'random_state': 42, 'splitter': 'random'}",0.6529105125977411,0.6685490877497828,0.6445023902651021,0.6466753585397653,0.6531593372880979,0.009405996028694227,1573,0.6446987253765932,0.6825028968713789,0.6482259232440261,0.6408399710354815,0.6540668791318699,0.016624058417984283,0.6062124248496994,0.6196159833938765,0.5998028585510103,0.6031187122736419,0.607187494767057,0.007525057041524433,1573,0.600395974261673,0.6281006071118821,0.6029875518672199,0.5989687292082502,0.6076132156122562,0.011915805611064447,0.9893704006541292,0.9754901960784313,0.9950940310711366,0.9803761242845462,0.9850826880220609,0.0076285502090069485,765,0.9915531335149864,0.9869174161896974,0.9899182561307902,0.9811989100817439,0.9873969289793044,0.0039457729761466715,0.7517862690276483,0.757854649317677,0.7484624846248462,0.746807848022423,0.7512278127481485,0.004225220826818924,1573,0.7479190216832803,0.7676489294042825,0.7494584837545125,0.7438545755009295,0.7522202525857512,0.009139975052096279,SelectKBest,"Index(['statuses_count', 'n_tweets', '2018_tweets', '2019_tweets',
       '2020_tweets', 'publication_date_in_secs_std', 'retweet_count_std',
       'retweet_count_sum', 'num_hashtags_mean', 'num_hashtags_sum',
       'num_urls_std', 'num_mentions_mean', 'num_mentions_std',
       'tweeting_regularity', 'max_daily_tweets'],
      dtype='object')"
7,0.025084376335144043,0.009423231381946432,0.019050657749176025,0.00426015304233749,gini,4,sqrt,,0.0,1,16,42,best,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 16, 'random_state': 42, 'splitter': 'best'}",0.8097306689834927,0.8071242397914856,0.7966101694915254,0.8100825727944372,0.8058869127652353,0.0054764716944910264,740,0.8083719582850522,0.8093858632676709,0.8107168718320058,0.8110065170166546,0.8098703026003459,0.0010591718248278512,0.7386018237082067,0.7392638036809815,0.7280966767371602,0.73992673992674,0.7364722610132721,0.004858281184409439,1394,0.7366404517039725,0.739271913768558,0.7394123606889564,0.74167177600654,0.7392491255420068,0.0017819637680811882,0.9934587080948487,0.9844771241830066,0.9852820932134096,0.9910057236304171,0.9885559122804206,0.0037879211341999945,658,0.9953678474114441,0.9907331698010357,0.9942779291553133,0.9888283378746594,0.9923018210606132,0.0026377676642952725,0.8472803347280334,0.8444288717589348,0.8373870743571925,0.847256204124432,0.8440881212421483,0.004038784357871565,653,0.846679800672152,0.8467272303750291,0.8481115630447414,0.8476001401378023,0.8472796835574311,0.0006041067571439354,SelectKBest,"Index(['statuses_count', 'n_tweets', '2018_tweets', '2019_tweets',
       '2020_tweets', 'publication_date_in_secs_std', 'retweet_count_std',
       'retweet_count_sum', 'num_hashtags_mean', 'num_hashtags_sum',
       'num_urls_std', 'num_mentions_mean', 'num_mentions_std',
       'tweeting_regularity', 'max_daily_tweets'],
      dtype='object')"
8,0.008894681930541992,0.0019953621941661524,0.01865929365158081,0.0013833196190201874,gini,4,sqrt,,0.0,1,32,42,random,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 32, 'random_state': 42, 'splitter': 'random'}",0.6533449174630755,0.6685490877497828,0.6445023902651021,0.6531942633637549,0.6548976647104289,0.00865643809478069,1521,0.6444090382387022,0.6825028968713789,0.6482259232440261,0.6457639391745112,0.6552254493821545,0.015807968189486536,0.6064096144216324,0.6196159833938765,0.5998028585510103,0.6061969015492253,0.6080063394789361,0.007209447407684082,1521,0.6001979218208807,0.6281006071118821,0.6029875518672199,0.6012239497188223,0.6081275076297012,0.011574554970858117,0.9901880621422731,0.9754901960784313,0.9950940310711366,0.9918233851185609,0.9881489186026005,0.0075189369876470175,703,0.9915531335149864,0.9869174161896974,0.9899182561307902,0.9904632152588556,0.9897130052735824,0.001718017258872688,0.7521739130434782,0.757854649317677,0.7484624846248462,0.7524813895781636,0.7527431091410411,0.0033482857760757643,1521,0.7477653344292613,0.7676489294042825,0.7494584837545125,0.7482503087690406,0.7532807640892742,0.00831834488555762,SelectKBest,"Index(['statuses_count', 'n_tweets', '2018_tweets', '2019_tweets',
       '2020_tweets', 'publication_date_in_secs_std', 'retweet_count_std',
       'retweet_count_sum', 'num_hashtags_mean', 'num_hashtags_sum',
       'num_urls_std', 'num_mentions_mean', 'num_mentions_std',
       'tweeting_regularity', 'max_daily_tweets'],
      dtype='object')"
9,0.01869755983352661,0.0014796159282373666,0.016499817371368408,0.0025531615595317933,gini,4,sqrt,,0.0,1,32,42,best,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 32, 'random_state': 42, 'splitter': 'best'}",0.8097306689834927,0.8071242397914856,0.7966101694915254,0.8100825727944372,0.8058869127652353,0.0054764716944910264,740,0.8083719582850522,0.8093858632676709,0.8107168718320058,0.8110065170166546,0.8098703026003459,0.0010591718248278512,0.7386018237082067,0.7392638036809815,0.7280966767371602,0.73992673992674,0.7364722610132721,0.004858281184409439,1394,0.7366404517039725,0.739271913768558,0.7394123606889564,0.74167177600654,0.7392491255420068,0.0017819637680811882,0.9934587080948487,0.9844771241830066,0.9852820932134096,0.9910057236304171,0.9885559122804206,0.0037879211341999945,658,0.9953678474114441,0.9907331698010357,0.9942779291553133,0.9888283378746594,0.9923018210606132,0.0026377676642952725,0.8472803347280334,0.8444288717589348,0.8373870743571925,0.847256204124432,0.8440881212421483,0.004038784357871565,653,0.846679800672152,0.8467272303750291,0.8481115630447414,0.8476001401378023,0.8472796835574311,0.0006041067571439354,SelectKBest,"Index(['statuses_count', 'n_tweets', '2018_tweets', '2019_tweets',
       '2020_tweets', 'publication_date_in_secs_std', 'retweet_count_std',
       'retweet_count_sum', 'num_hashtags_mean', 'num_hashtags_sum',
       'num_urls_std', 'num_mentions_mean', 'num_mentions_std',
       'tweeting_regularity', 'max_daily_tweets'],
      dtype='object')"
