,metric,method,truncation_mode,level,k,silhouette,DBscore
96,cityblock,average,,3,7,0.15631030647184962,1.5129799779444435
97,cityblock,average,,3,8,0.31072771921314885,1.485443161205963
98,cityblock,average,,3,9,0.28269052011906937,1.4972790504776663
99,cityblock,average,,3,10,0.2808447628531669,1.4478054567660774
100,cityblock,average,,4,6,0.19601869813708017,1.6553010758588413
101,cityblock,average,,4,7,0.15631030647184962,1.5129799779444435
102,cityblock,average,,4,8,0.31072771921314885,1.485443161205963
103,cityblock,average,,4,9,0.28269052011906937,1.4972790504776663
104,cityblock,average,,4,10,0.2808447628531669,1.4478054567660774
105,cityblock,average,lastp,2,6,0.19601869813708017,1.6553010758588413
106,cityblock,average,lastp,2,7,0.15631030647184962,1.5129799779444435
107,cityblock,average,lastp,2,8,0.31072771921314885,1.485443161205963
108,cityblock,average,lastp,2,9,0.28269052011906937,1.4972790504776663
109,cityblock,average,lastp,2,10,0.2808447628531669,1.4478054567660774
110,cityblock,average,lastp,3,6,0.19601869813708017,1.6553010758588413
111,cityblock,average,lastp,3,7,0.15631030647184962,1.5129799779444435
112,cityblock,average,lastp,3,8,0.31072771921314885,1.485443161205963
113,cityblock,average,lastp,3,9,0.28269052011906937,1.4972790504776663
114,cityblock,average,lastp,3,10,0.2808447628531669,1.4478054567660774
115,cityblock,average,lastp,4,6,0.19601869813708017,1.6553010758588413
116,cityblock,average,lastp,4,7,0.15631030647184962,1.5129799779444435
117,cityblock,average,lastp,4,8,0.31072771921314885,1.485443161205963
118,cityblock,average,lastp,4,9,0.28269052011906937,1.4972790504776663
119,cityblock,average,lastp,4,10,0.2808447628531669,1.4478054567660774
120,cityblock,average,level,2,6,0.19601869813708017,1.6553010758588413
121,cityblock,average,level,2,7,0.15631030647184962,1.5129799779444435
122,cityblock,average,level,2,8,0.31072771921314885,1.485443161205963
123,cityblock,average,level,2,9,0.28269052011906937,1.4972790504776663
124,cityblock,average,level,2,10,0.2808447628531669,1.4478054567660774
125,cityblock,average,level,3,6,0.19601869813708017,1.6553010758588413
126,cityblock,average,level,3,7,0.15631030647184962,1.5129799779444435
127,cityblock,average,level,3,8,0.31072771921314885,1.485443161205963
128,cityblock,average,level,3,9,0.28269052011906937,1.4972790504776663
129,cityblock,average,level,3,10,0.2808447628531669,1.4478054567660774
130,cityblock,average,level,4,6,0.19601869813708017,1.6553010758588413
131,cityblock,average,level,4,7,0.15631030647184962,1.5129799779444435
132,cityblock,average,level,4,8,0.31072771921314885,1.485443161205963
133,cityblock,average,level,4,9,0.28269052011906937,1.4972790504776663
134,cityblock,average,level,4,10,0.2808447628531669,1.4478054567660774
135,cityblock,weighted,,2,6,0.2790223670184186,2.0146596809905004
136,cityblock,weighted,,2,7,0.2538074977398914,1.9539343379918168
137,cityblock,weighted,,2,8,0.25067580862625694,1.8883530920187213
138,cityblock,weighted,,2,9,0.24832354209489682,1.7543593987101676
139,cityblock,weighted,,2,10,0.2480480685746548,1.669136591411807
140,cityblock,weighted,,3,6,0.2790223670184186,2.0146596809905004
141,cityblock,weighted,,3,7,0.2538074977398914,1.9539343379918168
142,cityblock,weighted,,3,8,0.25067580862625694,1.8883530920187213
