+-------------+----------+---------+---------+---------+-----------------------+--------------------+
|   Field 1   | Field 2  | Field 3 | Field 4 | Field 5 |        Field 6        |      Field 7       |
|  cityblock  |  single  |  level  |    3    |    8    |  0.07874607951269721  | 0.6695637556182948 |
|  cityblock  |  single  |  level  |    3    |    9    |  0.07749393215696107  | 0.6661684290872057 |
|  cityblock  |  single  |  level  |    3    |    10   |  0.07603591621959999  | 0.6561276740046825 |
|  cityblock  |  single  |  level  |    4    |    7    |  0.18561171429131795  | 0.6481817791092485 |
|  cityblock  |  single  |  level  |    4    |    8    |  0.07874607951269721  | 0.6695637556182948 |
|  cityblock  |  single  |  level  |    4    |    9    |  0.07749393215696107  | 0.6661684290872057 |
|  cityblock  |  single  |  level  |    4    |    10   |  0.07603591621959999  | 0.6561276740046825 |
|  cityblock  | average  |   None  |    2    |    7    |   0.2197423382160892  | 1.1898156169226348 |
|  cityblock  | average  |   None  |    2    |    8    |   0.2025352242247785  | 1.0502604363954688 |
|  cityblock  | average  |   None  |    2    |    9    |  0.17051935370106483  | 1.005171943800501  |
|  cityblock  | average  |   None  |    2    |    10   |   0.1687514346530193  | 0.9741247628177885 |
|  cityblock  | average  |   None  |    3    |    7    |   0.2197423382160892  | 1.1898156169226348 |
|  cityblock  | average  |   None  |    3    |    8    |   0.2025352242247785  | 1.0502604363954688 |
|  cityblock  | average  |   None  |    3    |    9    |  0.17051935370106483  | 1.005171943800501  |
|  cityblock  | average  |   None  |    3    |    10   |   0.1687514346530193  | 0.9741247628177885 |
|  cityblock  | average  |   None  |    4    |    7    |   0.2197423382160892  | 1.1898156169226348 |
|  cityblock  | average  |   None  |    4    |    8    |   0.2025352242247785  | 1.0502604363954688 |
|  cityblock  | average  |   None  |    4    |    9    |  0.17051935370106483  | 1.005171943800501  |
|  cityblock  | average  |   None  |    4    |    10   |   0.1687514346530193  | 0.9741247628177885 |
|  cityblock  | average  |  lastp  |    2    |    7    |   0.2197423382160892  | 1.1898156169226348 |
|  cityblock  | average  |  lastp  |    2    |    8    |   0.2025352242247785  | 1.0502604363954688 |
|  cityblock  | average  |  lastp  |    2    |    9    |  0.17051935370106483  | 1.005171943800501  |
|  cityblock  | average  |  lastp  |    2    |    10   |   0.1687514346530193  | 0.9741247628177885 |
|  cityblock  | average  |  lastp  |    3    |    7    |   0.2197423382160892  | 1.1898156169226348 |
|  cityblock  | average  |  lastp  |    3    |    8    |   0.2025352242247785  | 1.0502604363954688 |
|  cityblock  | average  |  lastp  |    3    |    9    |  0.17051935370106483  | 1.005171943800501  |
|  cityblock  | average  |  lastp  |    3    |    10   |   0.1687514346530193  | 0.9741247628177885 |
|  cityblock  | average  |  lastp  |    4    |    7    |   0.2197423382160892  | 1.1898156169226348 |
|  cityblock  | average  |  lastp  |    4    |    8    |   0.2025352242247785  | 1.0502604363954688 |
|  cityblock  | average  |  lastp  |    4    |    9    |  0.17051935370106483  | 1.005171943800501  |
|  cityblock  | average  |  lastp  |    4    |    10   |   0.1687514346530193  | 0.9741247628177885 |
|  cityblock  | average  |  level  |    2    |    7    |   0.2197423382160892  | 1.1898156169226348 |
|  cityblock  | average  |  level  |    2    |    8    |   0.2025352242247785  | 1.0502604363954688 |
|  cityblock  | average  |  level  |    2    |    9    |  0.17051935370106483  | 1.005171943800501  |
|  cityblock  | average  |  level  |    2    |    10   |   0.1687514346530193  | 0.9741247628177885 |
|  cityblock  | average  |  level  |    3    |    7    |   0.2197423382160892  | 1.1898156169226348 |
|  cityblock  | average  |  level  |    3    |    8    |   0.2025352242247785  | 1.0502604363954688 |
