,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_batch_size,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_momentum,param_solver,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1
0,25.873246288299562,2.9539133677093,0.0272310733795166,0.00901100945587032,logistic,0.001,16,"[64, 32, 16]",adaptive,0.001,0,adam,"{'activation': 'logistic', 'alpha': 0.001, 'batch_size': 16, 'hidden_layer_sizes': [64, 32, 16], 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'momentum': 0, 'solver': 'adam'}",0.8425624321389794,0.8299837045084193,0.8250950570342205,0.837588267246062,0.8104291146116241,0.829131715107861,0.011123894944668212,92,0.8274035850081477,0.8302783435166328,0.8312287847929396,0.8268839103869654,0.8323150033944331,0.8296219254198238,0.002129944189050406,0.7723320158102767,0.7579519006982157,0.7526964560862865,0.768562401263823,0.7408256880733946,0.7584736923863995,0.011304299686395689,131,0.7551650897856729,0.7587881141969315,0.7593167701863354,0.7563629298620556,0.7629048086359176,0.7585075425333826,0.002677344688675035,0.9979570990806946,0.9989775051124744,0.9989775051124744,0.9938712972420838,0.9897854954034729,0.99591378039024,0.003596542336955274,58,0.9992335206949412,0.9979565772669221,0.9992337164750957,0.9946346448645886,0.9931016862544711,0.9968320291112038,0.0025117256192195045,0.8707664884135472,0.8619320688134098,0.858523725834798,0.866815144766147,0.8473983384346305,0.8610871532525065,0.008014588067881133,88,0.8602221489057515,0.8620917917034422,0.8629094518583874,0.8592870544090057,0.8629148629148629,0.8614850619582899,0.0014742811747798694
1,27.3253258228302,4.719591802756551,0.020304203033447266,0.0020514125152644473,logistic,0.001,16,"[64, 32, 16]",adaptive,0.001,0.2,adam,"{'activation': 'logistic', 'alpha': 0.001, 'batch_size': 16, 'hidden_layer_sizes': [64, 32, 16], 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'momentum': 0.2, 'solver': 'adam'}",0.8425624321389794,0.8299837045084193,0.8256382400869093,0.837588267246062,0.8071700162954916,0.8285885320551722,0.012212032290150153,105,0.8274035850081477,0.8291921249151392,0.8310930074677528,0.8262050237610319,0.8300067888662593,0.8287801060036661,0.0017635125300830125,0.7714736012608353,0.7579519006982157,0.7528868360277137,0.768562401263823,0.7445141065830722,0.7590777691667321,0.009952993520677678,93,0.755066589461494,0.7581115212745289,0.759169415874248,0.755926933540614,0.7673764564081961,0.7591301833118163,0.004377529796525145,1.0,0.9989775051124744,1.0,0.9938712972420838,0.9703779366700716,0.992645347804926,0.011363261720647463,87,0.9994890137966275,0.9966794380587484,0.9992337164750957,0.99386816555953,0.9759836484414921,0.9930507964662988,0.008772705580029613,0.8709964412811388,0.8619320688134098,0.8590250329380764,0.866815144766147,0.8425720620842574,0.8602681499766061,0.009751152420610311,100,0.8602528862012094,0.8611785477819467,0.8628142920158799,0.858719646799117,0.859199280251912,0.860432930610013,0.0014639998445558084
2,31.7182017326355,5.808978005290704,0.021936798095703126,0.0037907456514076365,logistic,0.001,16,"[64, 32, 16]",adaptive,0.001,0.6,adam,"{'activation': 'logistic', 'alpha': 0.001, 'batch_size': 16, 'hidden_layer_sizes': [64, 32, 16], 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'momentum': 0.6, 'solver': 'adam'}",0.8414766558089034,0.8299837045084193,0.8261814231395981,0.8386746333514394,0.8071700162954916,0.8286972866207704,0.012118312855556961,101,0.8265888104291146,0.8295994568906992,0.830142566191446,0.8276985743380856,0.8320434487440598,0.8292145713186809,0.001908126094868714,0.7732696897374701,0.7579519006982157,0.7566302652106084,0.7672413793103449,0.74,0.7590186469913277,0.011307137522004998,100,0.7568673290473408,0.7587548638132295,0.7625147812376823,0.7552596023933603,0.763743842364532,0.7594280837712291,0.0032416168913207664,0.992849846782431,0.9989775051124744,0.9918200408997955,1.0,0.982635342185904,0.993256546996121,0.006216791240403165,84,0.9925907000510986,0.9961685823754789,0.988250319284802,0.9997445068983137,0.9902912621359223,0.9934090741491233,0.004117179457710715,0.8694096601073344,0.8619320688134098,0.8584070796460177,0.8682926829268294,0.8442299254058797,0.8604542833798942,0.009069112022378466,98,0.8588482369846357,0.8614025400331309,0.8608299032150405,0.8604727872457394,0.8623873623317387,0.8607881659620571,0.001166140188694529
3,26.652952003479005,3.2132625094158893,0.01999821662902832,0.002363622981923766,logistic,0.001,16,"[64, 32, 16]",adaptive,0.001,0.8,adam,"{'activation': 'logistic', 'alpha': 0.001, 'batch_size': 16, 'hidden_layer_sizes': [64, 32, 16], 'learning_rate': 'adaptive', 'learning_rate_init': 0.001, 'momentum': 0.8, 'solver': 'adam'}",0.8414766558089034,0.8299837045084193,0.8256382400869093,0.8365019011406845,0.8126018468223791,0.8292404696734591,0.009927989368336809,89,0.8278109722976643,0.8297352342158859,0.8309572301425662,0.8262050237610319,0.8335369993211134,0.8296490919476524,0.002532775524745317,0.7724028548770817,0.7575522850503486,0.7528868360277137,0.7699044585987261,0.7401515151515151,0.758579589941077,0.011767684959330749,123,0.7562960092987214,0.7574995161602477,0.7589216446858029,0.7574276778733385,0.7619883040935672,0.7584266304223356,0.0019660901242764053,0.9948927477017364,1.0,1.0,0.9877425944841676,0.9979570990806946,0.9961184882533196,0.004586301189099814,52,0.9974450689831375,0.9997445721583652,0.9994891443167305,0.9900357690342361,0.9987225344915688,0.9970874177968077,0.0036154123091258128,0.869642857142857,0.8620537681798148,0.8590250329380764,0.8653243847874721,0.8499347542409744,0.8611961594578391,0.0066431540204569045,85,0.8602908770383428,0.8619246861924685,0.8627494212324991,0.858250276854928,0.8644405130473242,0.8615311548731125,0.0021168776292079918
4,74.56973924636841,10.263517692432362,0.017404508590698243,0.0018671364310796745,logistic,0.001,16,"[64, 32, 16]",adaptive,0.0001,0,adam,"{'activation': 'logistic', 'alpha': 0.001, 'batch_size': 16, 'hidden_layer_sizes': [64, 32, 16], 'learning_rate': 'adaptive', 'learning_rate_init': 0.0001, 'momentum': 0, 'solver': 'adam'}",0.8414766558089034,0.8294405214557306,0.8245518739815317,0.8381314502987507,0.8098859315589354,0.8286972866207704,0.01117067271368568,101,0.8265888104291146,0.8289205702647657,0.8308214528173795,0.8263408010862185,0.8313645621181263,0.828807239343121,0.0020791606053817825,0.7719714964370546,0.7581648522550545,0.752895752895753,0.7704527402700556,0.740627390971691,0.7588224465659217,0.011617051436339683,113,0.7546841800270427,0.7587214967842526,0.7601871709884968,0.7567725589553693,0.7625786163522013,0.7585888046214725,0.00272161060561656,0.9959141981613892,0.9969325153374233,0.9969325153374233,0.9908069458631257,0.9887640449438202,0.9938700439286363,0.003417303737698346,81,0.9982115482881962,0.9943805874840358,0.9959131545338442,0.9920797138477261,0.9913132345426674,0.994379647739294,0.0025190351957349744,0.8697591436217663,0.8613074204946995,0.8578970523537176,0.8668453976764969,0.846894138232721,0.8605406304758804,0.00798165768294269,96,0.8595314046859532,0.8607119168693345,0.8622291021671825,0.8585959093421779,0.8620306598533659,0.8606197985836028,0.0014049627940413611
5,72.5834571838379,9.384445864186695,0.016977453231811525,0.0025237240425226726,logistic,0.001,16,"[64, 32, 16]",adaptive,0.0001,0.2,adam,"{'activation': 'logistic', 'alpha': 0.001, 'batch_size': 16, 'hidden_layer_sizes': [64, 32, 16], 'learning_rate': 'adaptive', 'learning_rate_init': 0.0001, 'momentum': 0.2, 'solver': 'adam'}",0.8409337676438654,0.8294405214557306,0.8245518739815317,0.837588267246062,0.8082563824008691,0.8281541625456118,0.011514108691509106,112,0.826860401955459,0.8275627970128988,0.8306856754921929,0.8264765784114053,0.8306856754921929,0.8284542256728298,0.0018549794813469366,0.7717908082408875,0.7585669781931464,0.752895752895753,0.7694136291600634,0.7411402157164869,0.7587614768412674,0.011208793124157125,114,0.754975845410628,0.7585532746823069,0.7596340988711561,0.756619937694704,0.7630696389820477,0.7585705591281684,0.002760435681421661,0.9948927477017364,0.9959100204498977,0.9969325153374233,0.9918283963227783,0.982635342185904,0.9924398043995479,0.005191244185862829,89,0.9982115482881962,0.9910600255427842,0.9969348659003832,0.9928461931527849,0.9882473173224323,0.9934599900413161,0.003686749275396994,0.8692547969656403,0.861184792219275,0.8578970523537176,0.8665774207942882,0.8449714536671059,0.8599771032000054,0.008492283981932242,106,0.8597205413136759,0.8593576965669988,0.8622556058765051,0.8587845303867404,0.8611822331069798,0.8602601214501799,0.0012739807206790222
6,69.49595928192139,8.125456331099759,0.015635871887207033,2.077970769975421e-05,logistic,0.001,16,"[64, 32, 16]",adaptive,0.0001,0.6,adam,"{'activation': 'logistic', 'alpha': 0.001, 'batch_size': 16, 'hidden_layer_sizes': [64, 32, 16], 'learning_rate': 'adaptive', 'learning_rate_init': 0.0001, 'momentum': 0.6, 'solver': 'adam'}",0.8403908794788274,0.830526887561108,0.8234655078761542,0.8386746333514394,0.8071700162954916,0.828045584912604,0.012069020691199367,116,0.8265888104291146,0.8286490156143924,0.8291921249151392,0.8274270196877122,0.8309572301425662,0.8285628401577849,0.0015048860703914609,0.7716098334655036,0.7622047244094489,0.7532971295577967,0.7689274447949527,0.7403697996918336,0.7592817863839071,0.011375784770267657,84,0.7557710960232784,0.7618953603158933,0.759320710521179,0.7560550280953303,0.7635789057870828,0.7593242201485527,0.003099207372563806,0.9938712972420838,0.9897750511247444,0.9928425357873211,0.9959141981613892,0.9816138917262512,0.9908033948083579,0.005003896278221185,107,0.9954011241696474,0.9856960408684546,0.9936143039591315,0.9969340827797649,0.9877363311190598,0.9918763765792116,0.004390014921957681,0.86875,0.8612099644128114,0.8566387295985884,0.8678237650200268,0.8440931049626702,0.8597031127988194,0.008979137501539593,116,0.8591906494652112,0.8594654788418707,0.8608099136977206,0.8599449035812672,0.8613122423972374,0.8601446375966615,0.0008021392531263874
7,74.59002809524536,9.510815894749534,0.018755149841308594,0.006255828211341349,logistic,0.001,16,"[64, 32, 16]",adaptive,0.0001,0.8,adam,"{'activation': 'logistic', 'alpha': 0.001, 'batch_size': 16, 'hidden_layer_sizes': [64, 32, 16], 'learning_rate': 'adaptive', 'learning_rate_init': 0.0001, 'momentum': 0.8, 'solver': 'adam'}",0.8393051031487514,0.8310700706137969,0.8234655078761542,0.8343291689299294,0.8109722976643129,0.827828429646589,0.009875688875661552,118,0.8257740358500815,0.8272912423625255,0.8294636795655126,0.8262050237610319,0.8334012219959267,0.8284270407070157,0.0027958158586144613,0.7725458898643256,0.7611589663273297,0.7548790007806401,0.7687400318979266,0.7402894135567403,0.7595226604853924,0.011390551337782705,76,0.7573860301310898,0.7596777362939674,0.7627989721288793,0.7571261226083561,0.7629673125856332,0.7599912347495852,0.0025232783613792584,0.9887640449438202,0.9938650306748467,0.9887525562372188,0.9846782431052093,0.992849846782431,0.9897819443487054,0.003293239886645982,120,0.989013796627491,0.9874840357598978,0.9856960408684546,0.9908022483392949,0.99591211037302,0.9897816463936318,0.0034981422878160627,0.8673835125448028,0.8620842572062084,0.8561310314298362,0.8634124496193462,0.8481675392670157,0.859435758013442,0.0066916275703751416,119,0.8578393351800553,0.8587294535761884,0.8600401158903498,0.8583444001770695,0.8640141859691899,0.8597934981585705,0.0022327496357731477
8,28.154681873321532,13.817660404669887,0.021865367889404297,0.0076842636533195445,logistic,0.001,16,"[64, 32, 16]",adaptive,0.008,0,adam,"{'activation': 'logistic', 'alpha': 0.001, 'batch_size': 16, 'hidden_layer_sizes': [64, 32, 16], 'learning_rate': 'adaptive', 'learning_rate_init': 0.008, 'momentum': 0, 'solver': 'adam'}",0.8403908794788274,0.837588267246062,0.824008690928843,0.8397609994568169,0.8136882129277566,0.8310874100076612,0.010553550736976438,55,0.8252308527973927,0.8382892057026476,0.8306856754921929,0.8272912423625255,0.83326544467074,0.8309524842050997,0.004591082947038867,0.7690494893951296,0.770949720670391,0.7511520737327189,0.7684458398744113,0.7405446293494705,0.7600283506044242,0.012082343149018895,66,0.7525475870024996,0.7705601907032181,0.7584269662921348,0.7547242576166603,0.7611824192921043,0.7594882841813234,0.0062841519698685865,1.0,0.9877300613496932,1.0,1.0,1.0,0.9975460122699387,0.004907975460122716,39,1.0,0.9908045977011494,1.0,1.0,1.0,0.9981609195402299,0.003678160919540252,0.8694493783303731,0.865979381443299,0.8578947368421053,0.869063470927652,0.8509343763581051,0.862664268780307,0.007187715671105371,56,0.8588041689522765,0.8669125041904123,0.8626198083067093,0.8602197802197802,0.864399293286219,0.8625911109910795,0.0028951312772924355
9,24.30039963722229,7.076387686962109,0.021847248077392578,0.0076846819046012755,logistic,0.001,16,"[64, 32, 16]",adaptive,0.008,0.2,adam,"{'activation': 'logistic', 'alpha': 0.001, 'batch_size': 16, 'hidden_layer_sizes': [64, 32, 16], 'learning_rate': 'adaptive', 'learning_rate_init': 0.008, 'momentum': 0.2, 'solver': 'adam'}",0.8431053203040174,0.8288973384030418,0.8256382400869093,0.8381314502987507,0.8136882129277566,0.8298921124040952,0.010238426785324497,75,0.8325638240086909,0.8300067888662593,0.8317718940936863,0.8262050237610319,0.8329938900203666,0.8307082841500071,0.0024726398135641605,0.7764423076923077,0.7563805104408353,0.7556420233463035,0.7666405638214565,0.7405446293494705,0.7591300069300747,0.012010547387520007,91,0.7634112792297112,0.7576930520611573,0.762765121759623,0.7535618020793223,0.7608864696734059,0.759663544960644,0.003640740147312797,0.9897854954034729,1.0,0.9928425357873211,1.0,1.0,0.9965256062381588,0.0043636759285411416,49,0.9925907000510986,1.0,0.9920817369093231,1.0,1.0,0.9969344873920842,0.0037579190613826895,0.8702290076335878,0.8612945838837517,0.8581528943879805,0.8679078014184397,0.8509343763581051,0.8617037327363729,0.006927130327156224,73,0.863045651449517,0.8621449020039639,0.8624403241922949,0.8594642072902943,0.8642084345330094,0.8622607038938158,0.0015668991091248553
