,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_random_state,param_degree,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,mean_train_f1,std_train_f1,Feature_Selector,Chosen_columns
0,2.6733617782592773,0.09084640128810298,1.5395205616950989,0.0666159446652008,0.01,scale,rbf,42,,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf', 'random_state': 42}",0.7515204170286707,0.7697654213727194,0.7614080834419817,0.7722729248152977,0.7637417116646674,0.00812207700852937,110,0.7665121668597914,0.7611529548088065,0.7669804489500363,0.7597393193338161,0.7635962224881125,0.003193782209961784,0.6833802816901409,0.7005780346820809,0.6916951080773607,0.7028438769587928,0.6946243253520938,0.007713891934614824,110,0.6971264367816092,0.6920882464815519,0.6978306776732578,0.6907607664579776,0.6944515318485991,0.003073296674568674,0.9918233851185609,0.9901960784313726,0.9942763695829926,0.9901880621422731,0.9916209738187998,0.0016715008029165015,105,0.9915531335149864,0.9918233851185609,0.9904632152588556,0.9920980926430518,0.9914844566338638,0.0006202967293039369,0.80920613742495,0.8205822613405552,0.8158336128815833,0.8221317040054312,0.8169384289131298,0.005031316206153619,110,0.8186726659167605,0.8152794891900974,0.8187858993129856,0.8144502852029974,0.8167970849057102,0.0019547220055737844,SelectFromModel,"Index(['statuses_count', 'user_subscription_in_secs', 'n_tweets',
       '2019_tweets', '2020_tweets', 'mean_length', 'mean_special_chars',
       'publication_date_in_secs_mean', 'publication_date_in_secs_std',
       'retweet_count_sum', 'num_hashtags_sum', 'num_mentions_mean',
       'num_mentions_std', 'tweeting_regularity', 'n_tweets_density'],
      dtype='object')"
1,3.2033286094665527,0.04316807825282368,1.9955754280090332,0.030897761994869433,0.01,auto,rbf,42,,"{'C': 0.01, 'gamma': 'auto', 'kernel': 'rbf', 'random_state': 42}",0.6220677671589921,0.630755864465682,0.6288570186875272,0.6271186440677966,0.6271998235949995,0.0032301824881368372,122,0.6296349942062572,0.6219582850521437,0.628385228095583,0.6273714699493121,0.626837494325824,0.0029288777076690925,0.5843287147634973,0.5901639344262295,0.5888300433317285,0.5876982220086497,0.5877552286325263,0.0021622521411744536,122,0.5893688774690863,0.5843287147634973,0.5885182809493265,0.5878584014095787,0.5875185686478722,0.0019179234557935307,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.7376357056694812,0.7422680412371134,0.7412121212121212,0.7403147699757869,0.7403576595236256,0.0017168674501647396,122,0.741638880468829,0.7376357056694812,0.740965071673733,0.7404418440431756,0.7401703754638047,0.0015236711564259274,SelectFromModel,"Index(['statuses_count', 'user_subscription_in_secs', 'n_tweets',
       '2019_tweets', '2020_tweets', 'mean_length', 'mean_special_chars',
       'publication_date_in_secs_mean', 'publication_date_in_secs_std',
       'retweet_count_sum', 'num_hashtags_sum', 'num_mentions_mean',
       'num_mentions_std', 'tweeting_regularity', 'n_tweets_density'],
      dtype='object')"
2,3.212869942188263,0.036491302845822554,2.084021747112274,0.07597615257808125,0.01,0.01,rbf,42,,"{'C': 0.01, 'gamma': 0.01, 'kernel': 'rbf', 'random_state': 42}",0.5312771503040834,0.5317115551694179,0.5315080399826162,0.5315080399826162,0.5315011963596834,0.00015373771025071993,130,0.5315758980301275,0.5314310544611819,0.5314989138305576,0.5314989138305576,0.5315011950381061,5.1260719278923485e-05,0.5312771503040834,0.5317115551694179,0.5315080399826162,0.5315080399826162,0.5315011963596834,0.00015373771025071993,130,0.5315758980301275,0.5314310544611819,0.5314989138305576,0.5314989138305576,0.5315011950381061,5.1260719278923485e-05,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.6939007092198581,0.6942711287577992,0.6940976163450624,0.6940976163450624,0.6940917676669455,0.00013109361653708038,130,0.6941554756951013,0.6940319682209402,0.6940898345153665,0.6940898345153665,0.6940917782366937,4.3709725168489606e-05,SelectFromModel,"Index(['statuses_count', 'user_subscription_in_secs', 'n_tweets',
       '2019_tweets', '2020_tweets', 'mean_length', 'mean_special_chars',
       'publication_date_in_secs_mean', 'publication_date_in_secs_std',
       'retweet_count_sum', 'num_hashtags_sum', 'num_mentions_mean',
       'num_mentions_std', 'tweeting_regularity', 'n_tweets_density'],
      dtype='object')"
3,3.243287980556488,0.033689089880601125,1.9268917441368103,0.055191257954307134,0.01,0.1,rbf,42,,"{'C': 0.01, 'gamma': 0.1, 'kernel': 'rbf', 'random_state': 42}",0.6333622936576889,0.6468288444830582,0.6427640156453716,0.6405910473707084,0.6408865502892067,0.0048871642156178095,119,0.6431054461181923,0.6381807647740441,0.6411296162201303,0.6409847936278059,0.6408501551850432,0.0017541528111798212,0.5916787614900823,0.6008836524300442,0.5980440097799511,0.5965853658536585,0.596797947388434,0.0033353002991261095,119,0.5983045321160744,0.5949408140100535,0.5969420949902408,0.5968450154496666,0.5967581141415088,0.0011974336213238102,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.7434650455927052,0.7506899724011039,0.7484700122399021,0.7473266116712496,0.7474879104762402,0.002618548434749681,119,0.7486740106079152,0.7460349735664905,0.7476064371562436,0.7475302984010592,0.7474614299329271,0.0009395344085528243,SelectFromModel,"Index(['statuses_count', 'user_subscription_in_secs', 'n_tweets',
       '2019_tweets', '2020_tweets', 'mean_length', 'mean_special_chars',
       'publication_date_in_secs_mean', 'publication_date_in_secs_std',
       'retweet_count_sum', 'num_hashtags_sum', 'num_mentions_mean',
       'num_mentions_std', 'tweeting_regularity', 'n_tweets_density'],
      dtype='object')"
4,2.4884944558143616,0.0351801358008876,1.5416889786720276,0.03738073908460906,0.01,1,rbf,42,,"{'C': 0.01, 'gamma': 1, 'kernel': 'rbf', 'random_state': 42}",0.7619461337966985,0.7788879235447437,0.7705345501955672,0.7805302042590179,0.7729747029490067,0.0074100516338752795,107,0.7769409038238703,0.770712630359212,0.7749456915278784,0.7701665459811731,0.7731914429230333,0.0028473829409626232,0.6927470017133067,0.7091866588648332,0.7002881844380403,0.7111764705882353,0.703349578901104,0.007367470988519917,108,0.706956859696852,0.7008859784283513,0.7052774544043462,0.7005584440593106,0.703419684147215,0.0027644746656311013,0.9918233851185609,0.9901960784313726,0.9934587080948487,0.9885527391659853,0.9910077277026919,0.0018274534985734464,108,0.9912806539509537,0.9918233851185609,0.9904632152588556,0.9912806539509537,0.991211977069831,0.0004857718290587591,0.8157363819771352,0.8264575519945447,0.821501014198783,0.8272322955867258,0.8227318109392971,0.004598543124012589,107,0.8253176043557169,0.8213519918745062,0.8238893925657298,0.8209409906352251,0.8228749948577946,0.0018066027710336803,SelectFromModel,"Index(['statuses_count', 'user_subscription_in_secs', 'n_tweets',
       '2019_tweets', '2020_tweets', 'mean_length', 'mean_special_chars',
       'publication_date_in_secs_mean', 'publication_date_in_secs_std',
       'retweet_count_sum', 'num_hashtags_sum', 'num_mentions_mean',
       'num_mentions_std', 'tweeting_regularity', 'n_tweets_density'],
      dtype='object')"
5,2.013823628425598,0.03641464355921956,1.1141148805618286,0.02006367448934041,0.1,scale,rbf,42,,"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf', 'random_state': 42}",0.7884448305821026,0.8027801911381407,0.7940026075619296,0.7992177314211213,0.7961113401758235,0.005416303220693437,95,0.800260718424102,0.7944669756662804,0.7969587255611875,0.7975380159304851,0.7973061088955138,0.002059420489700793,0.7198327359617682,0.7353300733496333,0.726832222895215,0.733292458614347,0.7288218727052409,0.006064365172005936,92,0.7328725350681032,0.7264492753623188,0.7296476306196841,0.7300526528959093,0.7297555234865039,0.002277441800307187,0.9852820932134096,0.9828431372549019,0.9811937857726901,0.9779231398201145,0.9818105390152791,0.0026744253934182093,152,0.9822888283378747,0.9836467702371219,0.9817438692098093,0.9822888283378747,0.9824920740306702,0.0007028071226220787,0.8318950638591647,0.8412587412587412,0.8350730688935282,0.8381219341275403,0.8365872020347436,0.003481646203524297,95,0.8394458027709861,0.8357068426536992,0.8371282527881041,0.837592936802974,0.8374684587539409,0.001336451975405151,SelectFromModel,"Index(['statuses_count', 'user_subscription_in_secs', 'n_tweets',
       '2019_tweets', '2020_tweets', 'mean_length', 'mean_special_chars',
       'publication_date_in_secs_mean', 'publication_date_in_secs_std',
       'retweet_count_sum', 'num_hashtags_sum', 'num_mentions_mean',
       'num_mentions_std', 'tweeting_regularity', 'n_tweets_density'],
      dtype='object')"
6,2.676769435405731,0.043036284570860624,1.5771523118019104,0.05168726680212453,0.1,auto,rbf,42,,"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf', 'random_state': 42}",0.7528236316246742,0.7619461337966985,0.7544545849630595,0.768361581920904,0.759396483076334,0.006214870257220519,111,0.7614426419466975,0.7570973348783314,0.7611875452570601,0.7565532223026792,0.759070186096192,0.002254939314282008,0.6845372460496614,0.6956018518518519,0.6858757062146893,0.7008149010477299,0.6917074262909831,0.006773719263359259,111,0.6939597315436241,0.6891378655526016,0.6937679769894535,0.6888888888888889,0.6914386157436421,0.0024277822784297153,0.9918233851185609,0.9820261437908496,0.9926410466067048,0.9844644317252658,0.9877387518103452,0.004584533398748445,128,0.9861035422343324,0.9890978468247479,0.9858310626702997,0.988283378746594,0.9873289576189935,0.0013951004312710796,0.810016694490818,0.8143631436314364,0.8112261944537253,0.8187691261475687,0.8135937896808871,0.003382939927159675,111,0.8146314012380417,0.8123111359820929,0.8144063027574563,0.8118634583100168,0.813303074571902,0.0012286172419447613,SelectFromModel,"Index(['statuses_count', 'user_subscription_in_secs', 'n_tweets',
       '2019_tweets', '2020_tweets', 'mean_length', 'mean_special_chars',
       'publication_date_in_secs_mean', 'publication_date_in_secs_std',
       'retweet_count_sum', 'num_hashtags_sum', 'num_mentions_mean',
       'num_mentions_std', 'tweeting_regularity', 'n_tweets_density'],
      dtype='object')"
7,3.141712963581085,0.038174914420191906,2.0776349306106567,0.04277564482619604,0.1,0.01,rbf,42,,"{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf', 'random_state': 42}",0.630755864465682,0.6437880104257168,0.6384180790960452,0.6375488917861799,0.637627711443406,0.004631480810750953,121,0.6396292004634995,0.63441483198146,0.6376538740043447,0.6373642288196959,0.63726553381725,0.0018623889078002306,0.5899662325132659,0.598825831702544,0.5951338199513382,0.594555177442878,0.5946202654025065,0.0031470138526569534,121,0.5959727184150698,0.5924430808977879,0.5946208684381076,0.594428247489472,0.5943662288101093,0.001259761326625955,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.7421116504854369,0.7490820073439413,0.7461866992068334,0.7457317073170733,0.7457780160883212,0.0024762754968338124,121,0.7468457468457469,0.7440681403366457,0.7457833773623247,0.7456318569687119,0.7455822803783573,0.0009914465965704252,SelectFromModel,"Index(['statuses_count', 'user_subscription_in_secs', 'n_tweets',
       '2019_tweets', '2020_tweets', 'mean_length', 'mean_special_chars',
       'publication_date_in_secs_mean', 'publication_date_in_secs_std',
       'retweet_count_sum', 'num_hashtags_sum', 'num_mentions_mean',
       'num_mentions_std', 'tweeting_regularity', 'n_tweets_density'],
      dtype='object')"
8,2.4772088527679443,0.04404027920958481,1.5311895608901978,0.030629309675160095,0.1,0.1,rbf,42,,"{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf', 'random_state': 42}",0.762380538662033,0.7749782797567333,0.7692307692307693,0.7783572359843546,0.7712367059084725,0.00606541020202658,108,0.7737543453070683,0.7696987253765932,0.7726285300506879,0.7690079652425779,0.7712723914942319,0.00197504796222419,0.6942528735632184,0.708628841607565,0.7006960556844548,0.7118241235888295,0.7038504736110168,0.00686433124586846,107,0.706342991386061,0.7015706806282722,0.7055599060297573,0.7014172005435838,0.7037226946469186,0.002246540009845951,0.9877350776778414,0.9795751633986928,0.9877350776778414,0.9795584627964022,0.9836509453876945,0.004084136558341995,149,0.9831062670299727,0.9860997547015535,0.9820163487738419,0.9844686648501363,0.9839227588388761,0.0015279383633931872,0.8153898076274047,0.8223593964334704,0.819816762809637,0.8245010323468684,0.8205167498043452,0.003392837008203262,108,0.8220551378446115,0.8198504418762745,0.8211437685121896,0.819181498696293,0.8205577117323422,0.001115789012403871,SelectFromModel,"Index(['statuses_count', 'user_subscription_in_secs', 'n_tweets',
       '2019_tweets', '2020_tweets', 'mean_length', 'mean_special_chars',
       'publication_date_in_secs_mean', 'publication_date_in_secs_std',
       'retweet_count_sum', 'num_hashtags_sum', 'num_mentions_mean',
       'num_mentions_std', 'tweeting_regularity', 'n_tweets_density'],
      dtype='object')"
9,1.9095141887664795,0.0355435005786235,1.0538259148597717,0.023089446278713267,0.1,1,rbf,42,,"{'C': 0.1, 'gamma': 1, 'kernel': 'rbf', 'random_state': 42}",0.789748045178106,0.8040834057341443,0.7979139504563233,0.8005215123859192,0.7980667284386233,0.005278498891896844,91,0.802143684820394,0.7975086906141368,0.7986965966690803,0.7994207096307024,0.7994424204335784,0.001702414810550563,0.7208607292289301,0.7366809552969994,0.7302551640340219,0.7340686274509803,0.7304663690027329,0.005998130369951248,91,0.7340511986997156,0.7287009063444109,0.7310498581272801,0.7316034867220759,0.7313513624733705,0.0019018743943884388,0.9860997547015535,0.9828431372549019,0.9828291087489779,0.9795584627964022,0.982832615875459,0.002312703909573854,150,0.9844686648501363,0.9860997547015535,0.9828337874659401,0.9833787465940055,0.9841952384029089,0.0012472120791615694,0.8328729281767956,0.8421421071053552,0.8379226211223423,0.8392294220665498,0.8380417696177607,0.0033524022751262378,90,0.8410148975791435,0.838082001389854,0.8384472338447234,0.83900964779728,0.8391384451527503,0.0011326417089927159,SelectFromModel,"Index(['statuses_count', 'user_subscription_in_secs', 'n_tweets',
       '2019_tweets', '2020_tweets', 'mean_length', 'mean_special_chars',
       'publication_date_in_secs_mean', 'publication_date_in_secs_std',
       'retweet_count_sum', 'num_hashtags_sum', 'num_mentions_mean',
       'num_mentions_std', 'tweeting_regularity', 'n_tweets_density'],
      dtype='object')"
