,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_random_state,param_splitter,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,mean_train_f1,std_train_f1
0,0.022742927074432373,0.0010950483629633832,0.023987114429473877,0.0012863396736008214,gini,4,sqrt,,0.0,1,2,42,random,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'random_state': 42, 'splitter': 'random'}",0.6828844483058211,0.6963509991311903,0.6979574098218166,0.6992611907866145,0.6941135120113606,0.006564532874944289,1850,0.6874275782155272,0.6990150637311703,0.6979000724112961,0.6976104272266473,0.6954882853961603,0.0046833046086947475,0.6903474903474903,0.6849894291754757,0.6869688385269122,0.6871035940803383,0.6873523380325541,0.0019211468632771844,1910,0.687221396731055,0.6882840236686391,0.6900191938579654,0.6862052730696798,0.6879324718318349,0.0014112796384166523,0.7309893704006541,0.7941176470588235,0.7931316434995912,0.7972199509403107,0.7788646529748449,0.02768194579558459,1779,0.7561307901907357,0.7925865358408286,0.7836512261580382,0.7942779291553134,0.7816616203362289,0.015283216662775488,0.710087370929309,0.735527809307605,0.7362428842504743,0.7380772142316427,0.7299838196797578,0.01152479304093781,1852,0.7200311364815776,0.7367620977957944,0.7338606787445777,0.7362970447082596,0.7317377394325524,0.006848044712428623
1,0.04682958126068115,0.01108038593327888,0.02560180425643921,0.0023878705481378626,gini,4,sqrt,,0.0,1,2,42,best,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'random_state': 42, 'splitter': 'best'}",0.7949609035621199,0.7966985230234579,0.7948717948717948,0.8039982616253802,0.7976323707706883,0.0037468037821877438,862,0.7969293163383546,0.8019988412514485,0.8005792903692976,0.8005792903692976,0.8000216845820995,0.0018770813966039613,0.7369085173501577,0.7350746268656716,0.7327960322380657,0.74125,0.7365072941134737,0.0031016221305362173,1104,0.736348478532722,0.7376135425268373,0.7406086044071354,0.7362456212651968,0.7377040616829729,0.0017613358767963505,0.9550286181520851,0.9656862745098039,0.9664758789860998,0.9697465249386754,0.9642343241466661,0.005528609870150405,889,0.9626702997275204,0.9738348323793949,0.9615803814713897,0.9735694822888283,0.9679137489667834,0.005801979230091024,0.8319088319088319,0.8347457627118645,0.8335684062059238,0.8402408784980517,0.835115969831168,0.0031257970576377926,836,0.8344355219650449,0.8394220603782451,0.8367516301126261,0.8384371700105596,0.837261595616619,0.0018905250752966095
2,0.029131650924682617,0.0029453891020679826,0.030657470226287842,0.008903830093719051,gini,4,sqrt,,0.0,1,4,42,random,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 4, 'random_state': 42, 'splitter': 'random'}",0.6828844483058211,0.6963509991311903,0.6979574098218166,0.6992611907866145,0.6941135120113606,0.006564532874944289,1850,0.6874275782155272,0.6990150637311703,0.6979000724112961,0.6976104272266473,0.6954882853961603,0.0046833046086947475,0.6903474903474903,0.6849894291754757,0.6869688385269122,0.6871035940803383,0.6873523380325541,0.0019211468632771844,1910,0.687221396731055,0.6882840236686391,0.6900191938579654,0.6862052730696798,0.6879324718318349,0.0014112796384166523,0.7309893704006541,0.7941176470588235,0.7931316434995912,0.7972199509403107,0.7788646529748449,0.02768194579558459,1779,0.7561307901907357,0.7925865358408286,0.7836512261580382,0.7942779291553134,0.7816616203362289,0.015283216662775488,0.710087370929309,0.735527809307605,0.7362428842504743,0.7380772142316427,0.7299838196797578,0.01152479304093781,1852,0.7200311364815776,0.7367620977957944,0.7338606787445777,0.7362970447082596,0.7317377394325524,0.006848044712428623
3,0.09720247983932495,0.04471408453284878,0.03377068042755127,0.008695662421005928,gini,4,sqrt,,0.0,1,4,42,best,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 4, 'random_state': 42, 'splitter': 'best'}",0.7988705473501303,0.7962641181581234,0.7948717948717948,0.8039982616253802,0.7985011805013571,0.00348321764783123,855,0.7993916570104287,0.8034472769409038,0.8005792903692976,0.8005792903692976,0.8009993786724818,0.001494148858056189,0.736318407960199,0.735202492211838,0.7327960322380657,0.74125,0.7363917331025256,0.003080239131396856,1105,0.7363956134905856,0.7383505154639175,0.7406086044071354,0.7362456212651968,0.7379000886567089,0.0017705683941900714,0.9681112019623875,0.9640522875816994,0.9664758789860998,0.9697465249386754,0.9670964733672155,0.0021038448098581256,685,0.9697547683923706,0.9760152630144453,0.9615803814713897,0.9735694822888283,0.9702299737917585,0.005469532792486215,0.8364535499823383,0.8342170378225522,0.8335684062059238,0.8402408784980517,0.8361199681272165,0.0026088690615439494,803,0.8371163118899213,0.8407090034041554,0.8367516301126261,0.8384371700105596,0.8382535288543157,0.0015501646358994014
4,0.020789921283721924,0.0008487810641661524,0.04385101795196533,0.017330791154975655,gini,4,sqrt,,0.0,1,8,42,random,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 8, 'random_state': 42, 'splitter': 'random'}",0.6828844483058211,0.6963509991311903,0.6979574098218166,0.6992611907866145,0.6941135120113606,0.006564532874944289,1850,0.6874275782155272,0.6990150637311703,0.6979000724112961,0.6976104272266473,0.6954882853961603,0.0046833046086947475,0.6903474903474903,0.6849894291754757,0.6869688385269122,0.6871035940803383,0.6873523380325541,0.0019211468632771844,1910,0.687221396731055,0.6882840236686391,0.6900191938579654,0.6862052730696798,0.6879324718318349,0.0014112796384166523,0.7309893704006541,0.7941176470588235,0.7931316434995912,0.7972199509403107,0.7788646529748449,0.02768194579558459,1779,0.7561307901907357,0.7925865358408286,0.7836512261580382,0.7942779291553134,0.7816616203362289,0.015283216662775488,0.710087370929309,0.735527809307605,0.7362428842504743,0.7380772142316427,0.7299838196797578,0.01152479304093781,1852,0.7200311364815776,0.7367620977957944,0.7338606787445777,0.7362970447082596,0.7317377394325524,0.006848044712428623
5,0.06469345092773438,0.02985096786657027,0.03138476610183716,0.01390677978799739,gini,4,sqrt,,0.0,1,8,42,best,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 8, 'random_state': 42, 'splitter': 'best'}",0.7988705473501303,0.7962641181581234,0.7913950456323338,0.8039982616253802,0.7976319931914919,0.004550658939615372,863,0.7993916570104287,0.8034472769409038,0.8015930485155685,0.8005792903692976,0.8012528182090497,0.0014873606275427919,0.736318407960199,0.735202492211838,0.7288971041281578,0.74125,0.7354170010750487,0.004398621405666566,1172,0.7363956134905856,0.7383505154639175,0.7388865808059826,0.7362456212651968,0.7374695827564206,0.0011656991060686862,0.9681112019623875,0.9640522875816994,0.9672935404742437,0.9697465249386754,0.9673008887392515,0.002073114047596602,677,0.9697547683923706,0.9760152630144453,0.9692098092643052,0.9735694822888283,0.9721373307399873,0.002798946324735043,0.8364535499823383,0.8342170378225522,0.8313422347153901,0.8402408784980517,0.835563425254583,0.003252003211910294,818,0.8371163118899213,0.8407090034041554,0.8385195662423385,0.8384371700105596,0.8386955128867437,0.001288964518074913
6,0.024431169033050537,0.0037440809789146576,0.03194558620452881,0.007803331235995511,gini,4,sqrt,,0.0,1,16,42,random,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 16, 'random_state': 42, 'splitter': 'random'}",0.68375325803649,0.6963509991311903,0.6979574098218166,0.6992611907866145,0.6943307144440278,0.006193275599362338,1841,0.6875724217844728,0.6990150637311703,0.6980448950036205,0.6976104272266473,0.6955607019364778,0.004639984486923139,0.6908249807247494,0.6849894291754757,0.6869688385269122,0.6871035940803383,0.6874717106268688,0.002109178257877635,1906,0.6872988363456302,0.6882840236686391,0.6901847852171826,0.6862052730696798,0.687993229575283,0.0014634247298365988,0.7326246933769419,0.7941176470588235,0.7931316434995912,0.7972199509403107,0.7792734837189168,0.02697491011971415,1769,0.7564032697547683,0.7925865358408286,0.7836512261580382,0.7942779291553134,0.7817297402272371,0.015169453443887601,0.7111111111111111,0.735527809307605,0.7362428842504743,0.7380772142316427,0.7302397547252083,0.011083003466949598,1841,0.7201971721364638,0.7367620977957944,0.733954319254817,0.7362970447082596,0.7318026584738337,0.00678440312878936
7,0.06618231534957886,0.02507871225584667,0.03828912973403931,0.00942159572866904,gini,4,sqrt,,0.0,1,16,42,best,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 16, 'random_state': 42, 'splitter': 'best'}",0.7988705473501303,0.7962641181581234,0.7913950456323338,0.8039982616253802,0.7976319931914919,0.004550658939615372,863,0.7993916570104287,0.8034472769409038,0.8015930485155685,0.8005792903692976,0.8012528182090497,0.0014873606275427919,0.736318407960199,0.735202492211838,0.7288971041281578,0.74125,0.7354170010750487,0.004398621405666566,1172,0.7363956134905856,0.7383505154639175,0.7388865808059826,0.7362456212651968,0.7374695827564206,0.0011656991060686862,0.9681112019623875,0.9640522875816994,0.9672935404742437,0.9697465249386754,0.9673008887392515,0.002073114047596602,677,0.9697547683923706,0.9760152630144453,0.9692098092643052,0.9735694822888283,0.9721373307399873,0.002798946324735043,0.8364535499823383,0.8342170378225522,0.8313422347153901,0.8402408784980517,0.835563425254583,0.003252003211910294,818,0.8371163118899213,0.8407090034041554,0.8385195662423385,0.8384371700105596,0.8386955128867437,0.001288964518074913
8,0.022859513759613037,0.0019089072116185199,0.03014051914215088,0.0027023972910184945,gini,4,sqrt,,0.0,1,32,42,random,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 32, 'random_state': 42, 'splitter': 'random'}",0.68375325803649,0.6963509991311903,0.6979574098218166,0.6992611907866145,0.6943307144440278,0.006193275599362338,1841,0.6875724217844728,0.6990150637311703,0.6980448950036205,0.6976104272266473,0.6955607019364778,0.004639984486923139,0.6908249807247494,0.6849894291754757,0.6869688385269122,0.6871035940803383,0.6874717106268688,0.002109178257877635,1906,0.6872988363456302,0.6882840236686391,0.6901847852171826,0.6862052730696798,0.687993229575283,0.0014634247298365988,0.7326246933769419,0.7941176470588235,0.7931316434995912,0.7972199509403107,0.7792734837189168,0.02697491011971415,1769,0.7564032697547683,0.7925865358408286,0.7836512261580382,0.7942779291553134,0.7817297402272371,0.015169453443887601,0.7111111111111111,0.735527809307605,0.7362428842504743,0.7380772142316427,0.7302397547252083,0.011083003466949598,1841,0.7201971721364638,0.7367620977957944,0.733954319254817,0.7362970447082596,0.7318026584738337,0.00678440312878936
9,0.04346555471420288,0.0010346488483471566,0.030376195907592773,0.004981888853499406,gini,4,sqrt,,0.0,1,32,42,best,"{'criterion': 'gini', 'max_depth': 4, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 32, 'random_state': 42, 'splitter': 'best'}",0.7953953084274544,0.7962641181581234,0.7913950456323338,0.8039982616253802,0.7967631834608229,0.00456298718155612,898,0.7959154113557358,0.8034472769409038,0.8015930485155685,0.8005792903692976,0.8003837567953764,0.0027772237258215328,0.7344139650872819,0.735202492211838,0.7288971041281578,0.74125,0.7349408903568193,0.004378307385213498,1184,0.7347871235721704,0.7383505154639175,0.7388865808059826,0.7362456212651968,0.7370674602768168,0.0016455078973038068,0.9632052330335241,0.9640522875816994,0.9672935404742437,0.9697465249386754,0.9660743965070356,0.0026120807211346946,700,0.964032697547684,0.9760152630144453,0.9692098092643052,0.9735694822888283,0.9707068130288157,0.00455958754353377,0.833392288645207,0.8342170378225522,0.8313422347153901,0.8402408784980517,0.8347981099203002,0.003312128524950291,847,0.8339422510312317,0.8407090034041554,0.8385195662423385,0.8384371700105596,0.8379019976720713,0.002461030018633408
