,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_base_estimator,param_learning_rate,param_n_estimators,param_random_state,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,mean_train_f1,std_train_f1,Feature_Selector,Chosen_columns
0,7.713095843791962,0.18081047572996548,0.7452967166900635,0.02352594294304979,SAMME,"SVC(C=10000, kernel='linear', random_state=42)",0.001,4,42,"{'algorithm': 'SAMME', 'base_estimator': SVC(C=10000, kernel='linear', random_state=42), 'learning_rate': 0.001, 'n_estimators': 4, 'random_state': 42}",0.8066898349261512,0.8210251954821894,0.8005215123859192,0.8122555410691004,0.8101230209658401,0.00753957532904135,49,0.8124275782155272,0.8073580533024334,0.814771904417089,0.8094134685010862,0.8109927511090339,0.0028304544799548,0.7363304981773997,0.7534332084893882,0.7340686274509803,0.7473420888055035,0.742793605730818,0.00793389643194891,49,0.7447948876520305,0.7396025404630199,0.7469531088618054,0.7419819078947368,0.7433331112178981,0.002783167344185139,0.9910057236304171,0.9861111111111112,0.9795584627964022,0.9771054783319706,0.9834451939674753,0.005467343882915351,30,0.9844686648501363,0.9839193240665032,0.9852861035422343,0.9833787465940055,0.9842632097632198,0.0007051694736000375,0.8448936911815964,0.854210898796886,0.8392294220665498,0.8469170800850461,0.8463127730325196,0.005360345879936456,39,0.8480225325666002,0.8444444444444444,0.8497238867348138,0.8457932973986407,0.8469960402861249,0.0020280572256580203,SelectKBest,"Index(['statuses_count', 'n_tweets', '2018_tweets', '2019_tweets',
       '2020_tweets', 'publication_date_in_secs_std', 'retweet_count_std',
       'retweet_count_sum', 'reply_count_entropy', 'num_hashtags_mean',
       'num_hashtags_sum', 'num_urls_std', 'num_mentions_mean',
       'num_mentions_std', 'tweeting_regularity'],
      dtype='object')"
1,15.42741483449936,0.441205955378993,1.476458489894867,0.03914497561464988,SAMME,"SVC(C=10000, kernel='linear', random_state=42)",0.001,8,42,"{'algorithm': 'SAMME', 'base_estimator': SVC(C=10000, kernel='linear', random_state=42), 'learning_rate': 0.001, 'n_estimators': 8, 'random_state': 42}",0.8062554300608167,0.8210251954821894,0.8005215123859192,0.8122555410691004,0.8100144197495065,0.007591197216149513,50,0.8122827346465817,0.8073580533024334,0.814771904417089,0.8094134685010862,0.8109565402167975,0.0028127377250258758,0.7358834244080146,0.7534332084893882,0.7340686274509803,0.7473420888055035,0.7426818372884717,0.008026763486918578,52,0.744641384995878,0.7396025404630199,0.7469531088618054,0.7419819078947368,0.7432947355538599,0.0027637375522721773,0.9910057236304171,0.9861111111111112,0.9795584627964022,0.9771054783319706,0.9834451939674753,0.005467343882915351,30,0.9844686648501363,0.9839193240665032,0.9852861035422343,0.9833787465940055,0.9842632097632198,0.0007051694736000375,0.8445993031358885,0.854210898796886,0.8392294220665498,0.8469170800850461,0.8462391760210926,0.005381304477468369,43,0.8479230227646092,0.8444444444444444,0.8497238867348138,0.8457932973986407,0.846971162835627,0.0020158868399257433,SelectKBest,"Index(['statuses_count', 'n_tweets', '2018_tweets', '2019_tweets',
       '2020_tweets', 'publication_date_in_secs_std', 'retweet_count_std',
       'retweet_count_sum', 'reply_count_entropy', 'num_hashtags_mean',
       'num_hashtags_sum', 'num_urls_std', 'num_mentions_mean',
       'num_mentions_std', 'tweeting_regularity'],
      dtype='object')"
2,30.592433631420135,0.2488723391567258,2.922534167766571,0.11487991524823546,SAMME,"SVC(C=10000, kernel='linear', random_state=42)",0.001,16,42,"{'algorithm': 'SAMME', 'base_estimator': SVC(C=10000, kernel='linear', random_state=42), 'learning_rate': 0.001, 'n_estimators': 16, 'random_state': 42}",0.8062554300608167,0.8210251954821894,0.8005215123859192,0.8122555410691004,0.8100144197495065,0.007591197216149513,50,0.8122827346465817,0.8073580533024334,0.814771904417089,0.8092686459087618,0.8109203345687165,0.0028332246433434376,0.7358834244080146,0.7534332084893882,0.7340686274509803,0.7473420888055035,0.7426818372884717,0.008026763486918578,52,0.744641384995878,0.7396025404630199,0.7469531088618054,0.7418293936279547,0.7432566069871644,0.002782574184915001,0.9910057236304171,0.9861111111111112,0.9795584627964022,0.9771054783319706,0.9834451939674753,0.005467343882915351,30,0.9844686648501363,0.9839193240665032,0.9852861035422343,0.9833787465940055,0.9842632097632198,0.0007051694736000375,0.8445993031358885,0.854210898796886,0.8392294220665498,0.8469170800850461,0.8462391760210926,0.005381304477468369,43,0.8479230227646092,0.8444444444444444,0.8497238867348138,0.8456942003514939,0.8469463885738403,0.0020307640278717414,SelectKBest,"Index(['statuses_count', 'n_tweets', '2018_tweets', '2019_tweets',
       '2020_tweets', 'publication_date_in_secs_std', 'retweet_count_std',
       'retweet_count_sum', 'reply_count_entropy', 'num_hashtags_mean',
       'num_hashtags_sum', 'num_urls_std', 'num_mentions_mean',
       'num_mentions_std', 'tweeting_regularity'],
      dtype='object')"
3,63.14235323667526,0.785517951123602,6.018624305725098,0.10456045759615856,SAMME,"SVC(C=10000, kernel='linear', random_state=42)",0.001,32,42,"{'algorithm': 'SAMME', 'base_estimator': SVC(C=10000, kernel='linear', random_state=42), 'learning_rate': 0.001, 'n_estimators': 32, 'random_state': 42}",0.8062554300608167,0.8210251954821894,0.8005215123859192,0.8118209474141678,0.8099057713357734,0.007561395377520043,53,0.8122827346465817,0.8072132097334879,0.8143374366401158,0.8092686459087618,0.8107755067322369,0.0027349437884096927,0.7358834244080146,0.7534332084893882,0.7340686274509803,0.746875,0.7425650650870959,0.007961247619484881,56,0.744641384995878,0.7394510446538304,0.746694214876033,0.7418293936279547,0.743154009538424,0.0027482674465321632,0.9910057236304171,0.9861111111111112,0.9795584627964022,0.9771054783319706,0.9834451939674753,0.005467343882915351,30,0.9844686648501363,0.9839193240665032,0.9847411444141689,0.9833787465940055,0.9841269699812034,0.0005236699057147588,0.8445993031358885,0.854210898796886,0.8392294220665498,0.8466170740347149,0.8461641745085098,0.005373418455650478,48,0.8479230227646092,0.8443456905625074,0.8493537015276147,0.8456942003514939,0.8468291538015563,0.0019381434107795482,SelectKBest,"Index(['statuses_count', 'n_tweets', '2018_tweets', '2019_tweets',
       '2020_tweets', 'publication_date_in_secs_std', 'retweet_count_std',
       'retweet_count_sum', 'reply_count_entropy', 'num_hashtags_mean',
       'num_hashtags_sum', 'num_urls_std', 'num_mentions_mean',
       'num_mentions_std', 'tweeting_regularity'],
      dtype='object')"
4,129.25820469856262,1.5437576659821446,12.278694689273834,0.1884977547677027,SAMME,"SVC(C=10000, kernel='linear', random_state=42)",0.001,64,42,"{'algorithm': 'SAMME', 'base_estimator': SVC(C=10000, kernel='linear', random_state=42), 'learning_rate': 0.001, 'n_estimators': 64, 'random_state': 42}",0.8066898349261512,0.8218940052128584,0.8009561060408518,0.8113863537592351,0.810231574984774,0.007679909498415352,43,0.8122827346465817,0.8072132097334879,0.8141926140477914,0.8095582910934106,0.8108117123803179,0.0026511643109530347,0.7363304981773997,0.7540574282147315,0.7345187001839363,0.7467166979362101,0.7429058311280694,0.00794449168132924,45,0.744641384995878,0.7394510446538304,0.7466418681545773,0.7422341082081876,0.7432421015031183,0.0026881485308033475,0.9910057236304171,0.9869281045751634,0.9795584627964022,0.9762878168438267,0.9834450269614523,0.005822950314491013,35,0.9844686648501363,0.9839193240665032,0.9844686648501363,0.9831062670299727,0.9839907301991871,0.0005577223759715615,0.8448936911815964,0.8549186128803963,0.8395234758234057,0.8462083628632175,0.846386035687154,0.005526261421562521,35,0.8479230227646092,0.8443456905625074,0.8492184745563521,0.8458562888289767,0.8468358691781114,0.0018721163496881643,SelectKBest,"Index(['statuses_count', 'n_tweets', '2018_tweets', '2019_tweets',
       '2020_tweets', 'publication_date_in_secs_std', 'retweet_count_std',
       'retweet_count_sum', 'reply_count_entropy', 'num_hashtags_mean',
       'num_hashtags_sum', 'num_urls_std', 'num_mentions_mean',
       'num_mentions_std', 'tweeting_regularity'],
      dtype='object')"
5,263.4523026943207,1.3427270340239006,25.416640996932983,0.2344514593981493,SAMME,"SVC(C=10000, kernel='linear', random_state=42)",0.001,128,42,"{'algorithm': 'SAMME', 'base_estimator': SVC(C=10000, kernel='linear', random_state=42), 'learning_rate': 0.001, 'n_estimators': 128, 'random_state': 42}",0.8066898349261512,0.8218940052128584,0.8009561060408518,0.8113863537592351,0.810231574984774,0.007679909498415352,43,0.8121378910776361,0.8072132097334879,0.8139029688631426,0.8095582910934106,0.8107030901919193,0.002539079935837566,0.7363304981773997,0.7540574282147315,0.7345187001839363,0.7467166979362101,0.7429058311280694,0.00794449168132924,45,0.7445887445887446,0.7394510446538304,0.7465371097787885,0.7422341082081876,0.7432027518073877,0.0026482303553383543,0.9910057236304171,0.9869281045751634,0.9795584627964022,0.9762878168438267,0.9834450269614523,0.005822950314491013,35,0.9841961852861035,0.9839193240665032,0.9839237057220709,0.9831062670299727,0.9837863705261626,0.0004083584525020251,0.8448936911815964,0.8549186128803963,0.8395234758234057,0.8462083628632175,0.846386035687154,0.005526261421562521,35,0.8477878183311818,0.8443456905625074,0.8489479252380393,0.8458562888289767,0.8467344307401763,0.001766804754462772,SelectKBest,"Index(['statuses_count', 'n_tweets', '2018_tweets', '2019_tweets',
       '2020_tweets', 'publication_date_in_secs_std', 'retweet_count_std',
       'retweet_count_sum', 'reply_count_entropy', 'num_hashtags_mean',
       'num_hashtags_sum', 'num_urls_std', 'num_mentions_mean',
       'num_mentions_std', 'tweeting_regularity'],
      dtype='object')"
6,535.9043276906013,4.412702173242114,53.617451906204224,1.201995127687715,SAMME,"SVC(C=10000, kernel='linear', random_state=42)",0.001,256,42,"{'algorithm': 'SAMME', 'base_estimator': SVC(C=10000, kernel='linear', random_state=42), 'learning_rate': 0.001, 'n_estimators': 256, 'random_state': 42}",0.8066898349261512,0.8205907906168549,0.8005215123859192,0.8113863537592351,0.8097971229220401,0.0073266825109863515,55,0.8125724217844728,0.8066338354577057,0.8136133236784938,0.8098479362780594,0.810666879299683,0.0027041050711252585,0.7363304981773997,0.7535959974984365,0.7343558282208589,0.7467166979362101,0.7427497554582263,0.007826916339180456,51,0.7449484536082475,0.7393355209187858,0.7463303700640893,0.7421409492500514,0.7431888234602936,0.0026884751327792386,0.9910057236304171,0.9844771241830066,0.9787408013082584,0.9762878168438267,0.9826278664913772,0.0056770095456021435,41,0.9844686648501363,0.9825565549195966,0.9836512261580381,0.9841961852861035,0.9837181578034686,0.0007323885932740797,0.8448936911815964,0.8537017357421184,0.8391167192429022,0.8462083628632175,0.8459801272574586,0.005195239214976483,54,0.8481220657276995,0.8437682855471036,0.8487128247325731,0.8461988989106243,0.8467005187295001,0.0019313068889180876,SelectKBest,"Index(['statuses_count', 'n_tweets', '2018_tweets', '2019_tweets',
       '2020_tweets', 'publication_date_in_secs_std', 'retweet_count_std',
       'retweet_count_sum', 'reply_count_entropy', 'num_hashtags_mean',
       'num_hashtags_sum', 'num_urls_std', 'num_mentions_mean',
       'num_mentions_std', 'tweeting_regularity'],
      dtype='object')"
7,7.8909724950790405,0.17477087700974864,0.7415669560432434,0.02148932647750797,SAMME,"SVC(C=10000, kernel='linear', random_state=42)",0.01,4,42,"{'algorithm': 'SAMME', 'base_estimator': SVC(C=10000, kernel='linear', random_state=42), 'learning_rate': 0.01, 'n_estimators': 4, 'random_state': 42}",0.8066898349261512,0.8210251954821894,0.8005215123859192,0.8118209474141678,0.810014372552107,0.007511139708643597,52,0.8124275782155272,0.8073580533024334,0.8144822592324402,0.8092686459087618,0.8108841341647907,0.0027555295359264335,0.7363304981773997,0.7534332084893882,0.7340686274509803,0.746875,0.742676833529442,0.007869265980434916,54,0.7447948876520305,0.7396025404630199,0.7467465399710803,0.7418293936279547,0.7432433404285214,0.002735615824882597,0.9910057236304171,0.9861111111111112,0.9795584627964022,0.9771054783319706,0.9834451939674753,0.005467343882915351,30,0.9844686648501363,0.9839193240665032,0.9850136239782016,0.9833787465940055,0.9841950898722116,0.0006097754666034125,0.8448936911815964,0.854210898796886,0.8392294220665498,0.8466170740347149,0.8462377715199368,0.005353460165837884,45,0.8480225325666002,0.8444444444444444,0.8494888967218893,0.8456942003514939,0.8469125185211069,0.001965041006249087,SelectKBest,"Index(['statuses_count', 'n_tweets', '2018_tweets', '2019_tweets',
       '2020_tweets', 'publication_date_in_secs_std', 'retweet_count_std',
       'retweet_count_sum', 'reply_count_entropy', 'num_hashtags_mean',
       'num_hashtags_sum', 'num_urls_std', 'num_mentions_mean',
       'num_mentions_std', 'tweeting_regularity'],
      dtype='object')"
8,16.610619485378265,0.43435777095505457,1.5579298734664917,0.040676232819706344,SAMME,"SVC(C=10000, kernel='linear', random_state=42)",0.01,8,42,"{'algorithm': 'SAMME', 'base_estimator': SVC(C=10000, kernel='linear', random_state=42), 'learning_rate': 0.01, 'n_estimators': 8, 'random_state': 42}",0.8066898349261512,0.8218940052128584,0.8009561060408518,0.8113863537592351,0.810231574984774,0.007679909498415352,43,0.8124275782155272,0.8072132097334879,0.8143374366401158,0.8095582910934106,0.8108841289206354,0.0027175845687849934,0.7363304981773997,0.7540574282147315,0.7345187001839363,0.7467166979362101,0.7429058311280694,0.00794449168132924,45,0.7447948876520305,0.7394510446538304,0.746694214876033,0.7422341082081876,0.7432935638475204,0.002725151398973235,0.9910057236304171,0.9869281045751634,0.9795584627964022,0.9762878168438267,0.9834450269614523,0.005822950314491013,35,0.9844686648501363,0.9839193240665032,0.9847411444141689,0.9831062670299727,0.9840588500901952,0.000624570988739965,0.8448936911815964,0.8549186128803963,0.8395234758234057,0.8462083628632175,0.846386035687154,0.005526261421562521,35,0.8480225325666002,0.8443456905625074,0.8493537015276147,0.8458562888289767,0.8468945533714248,0.001929665877660427,SelectKBest,"Index(['statuses_count', 'n_tweets', '2018_tweets', '2019_tweets',
       '2020_tweets', 'publication_date_in_secs_std', 'retweet_count_std',
       'retweet_count_sum', 'reply_count_entropy', 'num_hashtags_mean',
       'num_hashtags_sum', 'num_urls_std', 'num_mentions_mean',
       'num_mentions_std', 'tweeting_regularity'],
      dtype='object')"
9,32.91512256860733,0.9386170985721196,3.0367026329040527,0.03131097308844058,SAMME,"SVC(C=10000, kernel='linear', random_state=42)",0.01,16,42,"{'algorithm': 'SAMME', 'base_estimator': SVC(C=10000, kernel='linear', random_state=42), 'learning_rate': 0.01, 'n_estimators': 16, 'random_state': 42}",0.8066898349261512,0.8218940052128584,0.8009561060408518,0.8113863537592351,0.810231574984774,0.007679909498415352,43,0.8125724217844728,0.8072132097334879,0.8137581462708182,0.8095582910934106,0.8107755172205474,0.0025640113172683155,0.7363304981773997,0.7540574282147315,0.7345187001839363,0.7467166979362101,0.7429058311280694,0.00794449168132924,45,0.7449484536082475,0.7394510446538304,0.7464846980976013,0.7422341082081876,0.7432795761419667,0.0026836828847761826,0.9910057236304171,0.9869281045751634,0.9795584627964022,0.9762878168438267,0.9834450269614523,0.005822950314491013,35,0.9844686648501363,0.9839193240665032,0.9836512261580381,0.9831062670299727,0.9837863705261626,0.0004909192790523865,0.8448936911815964,0.8549186128803963,0.8395234758234057,0.8462083628632175,0.846386035687154,0.005526261421562521,35,0.8481220657276995,0.8443456905625074,0.8488126028685634,0.8458562888289767,0.8467841619969368,0.0017826700700650342,SelectKBest,"Index(['statuses_count', 'n_tweets', '2018_tweets', '2019_tweets',
       '2020_tweets', 'publication_date_in_secs_std', 'retweet_count_std',
       'retweet_count_sum', 'reply_count_entropy', 'num_hashtags_mean',
       'num_hashtags_sum', 'num_urls_std', 'num_mentions_mean',
       'num_mentions_std', 'tweeting_regularity'],
      dtype='object')"
