,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_batch_size,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_momentum,param_solver,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,mean_train_f1,std_train_f1,Feature_Selector,Chosen_columns
0,24.147625267505646,5.261061980778186,0.008500099182128906,0.0003536963527034227,logistic,1e-05,8,[5],constant,0.01,0.0,adam,"{'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 8, 'hidden_layer_sizes': [5], 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'momentum': 0.0, 'solver': 'adam'}",0.8236316246741964,0.8223284100781929,0.8157322903085615,0.8226857887874837,0.8210945284621086,0.003132292629623289,120,0.8244495944380069,0.8237253765932793,0.8259232440260681,0.8246198406951485,0.8246795139381257,0.0007927273296894211,0.7545171339563863,0.7523219814241486,0.7470624613481757,0.7526348419094855,0.7516341046595489,0.0027697666860014257,140,0.752672697368421,0.7539353769676885,0.7571904960400166,0.7530356040337518,0.7542085436024695,0.0017819421452908827,0.9901880621422731,0.9926470588235294,0.9877350776778414,0.9926410466067048,0.9908028113125871,0.0020352680458792694,100,0.9975476839237057,0.9920959389479422,0.9899182561307902,0.9970027247956403,0.9941411509495197,0.00323298641206808,0.8564356435643565,0.8559351884466362,0.8507042253521127,0.8561354019746121,0.8548026148344294,0.002372900320790759,114,0.8579798453245839,0.8567729786983641,0.858053849787435,0.8580138351506625,0.8577051272402614,0.0005388132605241363,SelectKBest,"Index(['statuses_count', 'user_subscription_in_secs', 'n_tweets',
       '2013_tweets', '2014_tweets', '2015_tweets', '2016_tweets',
       '2017_tweets', '2018_tweets', '2019_tweets', '2020_tweets',
       'publication_date_in_secs_std', 'retweet_count_entropy',
       'reply_count_entropy', 'favorite_count_mean', 'favorite_count_std',
       'num_hashtags_mean', 'num_hashtags_std', 'num_urls_mean',
       'num_urls_std', 'num_mentions_mean', 'num_mentions_std',
       'tweeting_regularity', 'max_daily_tweets', 'lang_discr'],
      dtype='object')"
1,21.89000016450882,5.576071361495242,0.008500158786773682,1.97686242482388e-07,logistic,1e-05,8,[5],constant,0.01,0.2,adam,"{'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 8, 'hidden_layer_sizes': [5], 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'momentum': 0.2, 'solver': 'adam'}",0.8236316246741964,0.8119026933101651,0.8166014776184267,0.8209474141677532,0.8182708024426354,0.004450902285413816,142,0.8238702201622248,0.8174971031286211,0.8244750181028241,0.8246198406951485,0.8226155455222046,0.0029684801838274176,0.7554721701063164,0.7546683837733419,0.7473749227918468,0.7520198881292729,0.7523838412001945,0.0031614330476948515,114,0.753932119205298,0.7622468974526453,0.755085097550851,0.7550300767475627,0.7565735477390891,0.0033076361776948576,0.9877350776778414,0.9575163398692811,0.9893704006541292,0.9893704006541292,0.9809980547138452,0.013573602723175728,141,0.9926430517711171,0.9542109566639412,0.9912806539509537,0.9918256130790191,0.9824900688662578,0.016334151498450078,0.8561304039688165,0.8440763413755853,0.8515130190007038,0.8545197740112994,0.8515598845891013,0.0046275319610978765,141,0.8569748294518936,0.8474945533769064,0.857210179076343,0.8573784006595219,0.8547644906411662,0.004199747105198693,SelectKBest,"Index(['statuses_count', 'user_subscription_in_secs', 'n_tweets',
       '2013_tweets', '2014_tweets', '2015_tweets', '2016_tweets',
       '2017_tweets', '2018_tweets', '2019_tweets', '2020_tweets',
       'publication_date_in_secs_std', 'retweet_count_entropy',
       'reply_count_entropy', 'favorite_count_mean', 'favorite_count_std',
       'num_hashtags_mean', 'num_hashtags_std', 'num_urls_mean',
       'num_urls_std', 'num_mentions_mean', 'num_mentions_std',
       'tweeting_regularity', 'max_daily_tweets', 'lang_discr'],
      dtype='object')"
2,36.072125017642975,0.7811275748385162,0.008999764919281006,0.0011724172886180572,logistic,1e-05,8,[5],constant,0.001,0.0,adam,"{'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 8, 'hidden_layer_sizes': [5], 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'momentum': 0.0, 'solver': 'adam'}",0.8240660295395309,0.8201563857515204,0.8157322903085615,0.8231203824424164,0.8207687720105074,0.0032458875404269946,130,0.820683661645423,0.8232908458864426,0.8240405503258509,0.821578566256336,0.822398406028513,0.0013328139728299472,0.756265664160401,0.7512406947890818,0.7482908638906153,0.753416149068323,0.7523033429771053,0.002922650173527196,118,0.7521775197013687,0.7546267415263048,0.7557824546780579,0.7509263071222725,0.753378255757001,0.0019230645043008781,0.9869174161896974,0.9893790849673203,0.9844644317252658,0.9918233851185609,0.988146079500211,0.002743493346175222,121,0.988283378746594,0.9890978468247479,0.988283378746594,0.9940054495912807,0.9899175134773042,0.0023834779068355435,0.8563320326356865,0.8540197461212975,0.8502824858757061,0.8563360395340629,0.8542425760416883,0.002473882856373661,126,0.8542157324540743,0.8560981363529134,0.8565356004250797,0.8555347091932457,0.8555960446063284,0.0008723366507685692,SelectKBest,"Index(['statuses_count', 'user_subscription_in_secs', 'n_tweets',
       '2013_tweets', '2014_tweets', '2015_tweets', '2016_tweets',
       '2017_tweets', '2018_tweets', '2019_tweets', '2020_tweets',
       'publication_date_in_secs_std', 'retweet_count_entropy',
       'reply_count_entropy', 'favorite_count_mean', 'favorite_count_std',
       'num_hashtags_mean', 'num_hashtags_std', 'num_urls_mean',
       'num_urls_std', 'num_mentions_mean', 'num_mentions_std',
       'tweeting_regularity', 'max_daily_tweets', 'lang_discr'],
      dtype='object')"
3,40.43412500619888,4.1159532143207755,0.008749961853027344,0.0007503033631333497,logistic,1e-05,8,[5],constant,0.001,0.2,adam,"{'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 8, 'hidden_layer_sizes': [5], 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'momentum': 0.2, 'solver': 'adam'}",0.8231972198088618,0.8214596003475239,0.8157322903085615,0.8226857887874837,0.8207687248131078,0.0029755547276470594,131,0.8211181923522596,0.8231460023174971,0.8246198406951485,0.8220130340333092,0.8227242673495536,0.0013092353129580227,0.7562814070351759,0.7517027863777089,0.746757257566399,0.7535780958307405,0.752079886702506,0.0034774268242933953,128,0.7535930014580295,0.7543640897755611,0.7553478712357217,0.7518052403548586,0.7537775507060428,0.0012974977063884199,0.9844644317252658,0.9918300653594772,0.9885527391659853,0.9901880621422731,0.9887588245982503,0.0027367645643897533,115,0.9858310626702997,0.9893704006541292,0.991008174386921,0.9929155313351499,0.9897812922616249,0.002602971381742082,0.855417406749556,0.8552307150405071,0.8508092892329346,0.8558303886925794,0.8543219499288943,0.0020396110133274557,124,0.8542084759768621,0.8560311284046693,0.8572775486152034,0.8557003639779265,0.8558043792436654,0.0010930884675718062,SelectKBest,"Index(['statuses_count', 'user_subscription_in_secs', 'n_tweets',
       '2013_tweets', '2014_tweets', '2015_tweets', '2016_tweets',
       '2017_tweets', '2018_tweets', '2019_tweets', '2020_tweets',
       'publication_date_in_secs_std', 'retweet_count_entropy',
       'reply_count_entropy', 'favorite_count_mean', 'favorite_count_std',
       'num_hashtags_mean', 'num_hashtags_std', 'num_urls_mean',
       'num_urls_std', 'num_mentions_mean', 'num_mentions_std',
       'tweeting_regularity', 'max_daily_tweets', 'lang_discr'],
      dtype='object')"
4,21.588125467300415,4.3732565736717035,0.007999897003173828,0.0003536120891471733,logistic,1e-05,8,[5],constant,0.005,0.0,adam,"{'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 8, 'hidden_layer_sizes': [5], 'learning_rate': 'constant', 'learning_rate_init': 0.005, 'momentum': 0.0, 'solver': 'adam'}",0.8227628149435273,0.8231972198088618,0.8183398522381573,0.8248587570621468,0.8222896610131734,0.0024108495119711387,87,0.8212630359212051,0.8237253765932793,0.8256335988414193,0.8221578566256336,0.8231949669953844,0.0016610399766756735,0.7551659361302442,0.7535692116697703,0.7489177489177489,0.7540272614622057,0.7529200395449922,0.002382737215793693,66,0.7528019925280199,0.7546738678853344,0.7561279601163273,0.7513379991766159,0.7537354549265743,0.001818230326903568,0.9860997547015535,0.9918300653594772,0.9901880621422731,0.9950940310711366,0.9908029783186101,0.0032390768673513214,99,0.988283378746594,0.9901880621422731,0.9918256130790191,0.9945504087193461,0.9912118656718081,0.0022992805884863585,0.8553191489361701,0.856437389770723,0.8528169014084507,0.8579485371871696,0.8556304943256283,0.0018733422019472318,91,0.8546182846371347,0.8565366026169986,0.858085808580858,0.8560037523452158,0.8563111120450517,0.0012410205891037868,SelectKBest,"Index(['statuses_count', 'user_subscription_in_secs', 'n_tweets',
       '2013_tweets', '2014_tweets', '2015_tweets', '2016_tweets',
       '2017_tweets', '2018_tweets', '2019_tweets', '2020_tweets',
       'publication_date_in_secs_std', 'retweet_count_entropy',
       'reply_count_entropy', 'favorite_count_mean', 'favorite_count_std',
       'num_hashtags_mean', 'num_hashtags_std', 'num_urls_mean',
       'num_urls_std', 'num_mentions_mean', 'num_mentions_std',
       'tweeting_regularity', 'max_daily_tweets', 'lang_discr'],
      dtype='object')"
5,18.693249702453613,4.543806475966583,0.007875144481658936,0.00021649085565415827,logistic,1e-05,8,[5],constant,0.005,0.2,adam,"{'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 8, 'hidden_layer_sizes': [5], 'learning_rate': 'constant', 'learning_rate_init': 0.005, 'momentum': 0.2, 'solver': 'adam'}",0.8258036490008688,0.8223284100781929,0.8179052585832247,0.823554976097349,0.8223980734399088,0.0028777859102358,86,0.822566628041715,0.8238702201622248,0.8253439536567705,0.8227371469949312,0.8236294872139103,0.0011094242000273483,0.7559153175591532,0.7542108546475359,0.7460220318237454,0.751694393099199,0.7519606492824084,0.0037430233448301755,135,0.7509751591049066,0.7558940121009806,0.7539159109645507,0.7503069995906673,0.7527730204402763,0.0022561223320437264,0.9926410466067048,0.9877450980392157,0.9967293540474244,0.9975470155355682,0.9936656285572283,0.0038908234521422506,52,0.9967302452316076,0.9874625238484601,0.9967302452316076,0.9989100817438692,0.994958274013886,0.004418224158813824,0.8582537999293036,0.8553236646621861,0.8533426671333566,0.8573436401967673,0.8560659429804034,0.001896472821210408,77,0.8565741716426648,0.8562987473410542,0.8584839239615113,0.8569424964936886,0.8570748348597297,0.000844988318477219,SelectKBest,"Index(['statuses_count', 'user_subscription_in_secs', 'n_tweets',
       '2013_tweets', '2014_tweets', '2015_tweets', '2016_tweets',
       '2017_tweets', '2018_tweets', '2019_tweets', '2020_tweets',
       'publication_date_in_secs_std', 'retweet_count_entropy',
       'reply_count_entropy', 'favorite_count_mean', 'favorite_count_std',
       'num_hashtags_mean', 'num_hashtags_std', 'num_urls_mean',
       'num_urls_std', 'num_mentions_mean', 'num_mentions_std',
       'tweeting_regularity', 'max_daily_tweets', 'lang_discr'],
      dtype='object')"
6,24.94774866104126,8.796874480222291,0.011875927448272705,0.005878239536073735,logistic,1e-05,8,[10],constant,0.01,0.0,adam,"{'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 8, 'hidden_layer_sizes': [10], 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'momentum': 0.0, 'solver': 'adam'}",0.8236316246741964,0.8214596003475239,0.817470664928292,0.8209474141677532,0.8208773260294414,0.0022099466402615833,127,0.8232908458864426,0.8276361529548089,0.8254887762490949,0.8243301955104997,0.8251864926502115,0.001613918556382254,0.7554721701063164,0.75139146567718,0.7470769230769231,0.7501542257865516,0.7510236961617427,0.0030106964048384065,144,0.7525773195876289,0.7568911917098445,0.7557584561112264,0.7525179856115108,0.7544362382550526,0.0019306947157002234,0.9877350776778414,0.9926470588235294,0.9926410466067048,0.9942763695829926,0.9918248881727671,0.0024534868125459797,81,0.9945504087193461,0.9953665849005179,0.9923705722070845,0.9975476839237057,0.9949588124376635,0.0018529918403104337,0.8561304039688165,0.8553326293558607,0.8525280898876405,0.8551336146272854,0.8547811844599008,0.0013532485849752837,115,0.8568075117370891,0.8599011066635271,0.858051596183296,0.8578793204452255,0.8581598837572844,0.0011125656453649395,SelectKBest,"Index(['statuses_count', 'user_subscription_in_secs', 'n_tweets',
       '2013_tweets', '2014_tweets', '2015_tweets', '2016_tweets',
       '2017_tweets', '2018_tweets', '2019_tweets', '2020_tweets',
       'publication_date_in_secs_std', 'retweet_count_entropy',
       'reply_count_entropy', 'favorite_count_mean', 'favorite_count_std',
       'num_hashtags_mean', 'num_hashtags_std', 'num_urls_mean',
       'num_urls_std', 'num_mentions_mean', 'num_mentions_std',
       'tweeting_regularity', 'max_daily_tweets', 'lang_discr'],
      dtype='object')"
7,40.659375071525574,3.441735364813961,0.00875002145767212,0.00043287807918407335,logistic,1e-05,8,[10],constant,0.01,0.2,adam,"{'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 8, 'hidden_layer_sizes': [10], 'learning_rate': 'constant', 'learning_rate_init': 0.01, 'momentum': 0.2, 'solver': 'adam'}",0.8149435273675065,0.8218940052128584,0.8148631029986962,0.8200782268578879,0.8179447156092372,0.003108545711628546,143,0.8260428736964078,0.8272016222479722,0.8283852280955829,0.8257784214337437,0.8268520363684266,0.0010344419289115454,0.7539834289356278,0.7540574282147315,0.7482866043613707,0.7532874139010645,0.7524037188531986,0.002395922957515104,112,0.7586423632935261,0.7597566093159882,0.7596656217345873,0.7576770419887194,0.7589354090832052,0.0008480778145156458,0.9672935404742437,0.9869281045751634,0.982011447260834,0.9836467702371219,0.9799699656368408,0.007529840497608133,142,0.9866485013623978,0.9869174161896974,0.9904632152588556,0.988283378746594,0.9880781278893862,0.001510120304052828,0.8474212034383953,0.8549186128803963,0.8493635077793494,0.8531914893617022,0.8512237033649608,0.0029767377850797323,143,0.8577519838919815,0.8585655008891524,0.8598462448255471,0.8577509755232352,0.8584786762824791,0.0008566522715962805,SelectKBest,"Index(['statuses_count', 'user_subscription_in_secs', 'n_tweets',
       '2013_tweets', '2014_tweets', '2015_tweets', '2016_tweets',
       '2017_tweets', '2018_tweets', '2019_tweets', '2020_tweets',
       'publication_date_in_secs_std', 'retweet_count_entropy',
       'reply_count_entropy', 'favorite_count_mean', 'favorite_count_std',
       'num_hashtags_mean', 'num_hashtags_std', 'num_urls_mean',
       'num_urls_std', 'num_mentions_mean', 'num_mentions_std',
       'tweeting_regularity', 'max_daily_tweets', 'lang_discr'],
      dtype='object')"
8,31.916624307632446,1.4817527537664592,0.00899970531463623,0.0006119873921568106,logistic,1e-05,8,[10],constant,0.001,0.0,adam,"{'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 8, 'hidden_layer_sizes': [10], 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'momentum': 0.0, 'solver': 'adam'}",0.8210251954821894,0.8201563857515204,0.8148631029986962,0.823554976097349,0.8198999150824388,0.0031646871951194967,137,0.8214078794901506,0.8227114716106605,0.8243301955104997,0.820854453294714,0.8223259999765061,0.0013391959325819937,0.7561591914087177,0.7512406947890818,0.7446286065070595,0.7561128526645768,0.7520353363423591,0.004720260109824326,131,0.754649947753396,0.7541051756391602,0.7542951769819913,0.7531737773152966,0.754056019422461,0.0005455993653455532,0.9787408013082584,0.9893790849673203,0.9918233851185609,0.9860997547015535,0.9865107565239233,0.0049242374332274,131,0.9839237057220709,0.9888252929953666,0.9929155313351499,0.9861035422343324,0.9879420180717299,0.0033556980017671583,0.8531717747683535,0.8540197461212975,0.8506311360448808,0.8559261887863734,0.8534372114302262,0.0019025555599917617,137,0.8541691306918984,0.8556603773584907,0.8573109045994588,0.8540412979351032,0.8552954276462378,0.0013263410009442605,SelectKBest,"Index(['statuses_count', 'user_subscription_in_secs', 'n_tweets',
       '2013_tweets', '2014_tweets', '2015_tweets', '2016_tweets',
       '2017_tweets', '2018_tweets', '2019_tweets', '2020_tweets',
       'publication_date_in_secs_std', 'retweet_count_entropy',
       'reply_count_entropy', 'favorite_count_mean', 'favorite_count_std',
       'num_hashtags_mean', 'num_hashtags_std', 'num_urls_mean',
       'num_urls_std', 'num_mentions_mean', 'num_mentions_std',
       'tweeting_regularity', 'max_daily_tweets', 'lang_discr'],
      dtype='object')"
9,33.94599962234497,4.692477584999376,0.008249938488006592,0.0002500415558752384,logistic,1e-05,8,[10],constant,0.001,0.2,adam,"{'activation': 'logistic', 'alpha': 1e-05, 'batch_size': 8, 'hidden_layer_sizes': [10], 'learning_rate': 'constant', 'learning_rate_init': 0.001, 'momentum': 0.2, 'solver': 'adam'}",0.8231972198088618,0.8201563857515204,0.8157322903085615,0.823554976097349,0.8206602179915731,0.003136651115719984,133,0.8212630359212051,0.822566628041715,0.8241853729181753,0.8214337436640116,0.8223621951362767,0.001165755458239713,0.755,0.7521793275217933,0.7470624613481757,0.7548346849656893,0.7522691184589145,0.003207693336859155,119,0.752278376139188,0.7549019607843137,0.7548775425487754,0.7520165460186142,0.7535186063727228,0.0013742937548256295,0.9877350776778414,0.9869281045751634,0.9877350776778414,0.9893704006541292,0.9879421651462438,0.0008879676158147662,125,0.9896457765667575,0.9863723085309348,0.991008174386921,0.9907356948228883,0.9894404885768753,0.0018433034185821662,0.8558271342543394,0.8537102473498234,0.8507042253521127,0.8563340410474168,0.8541439120009231,0.002216382845218184,127,0.8547893622028713,0.8552522746071133,0.8569745523091422,0.855026455026455,0.8555106610363954,0.0008608816226066003,SelectKBest,"Index(['statuses_count', 'user_subscription_in_secs', 'n_tweets',
       '2013_tweets', '2014_tweets', '2015_tweets', '2016_tweets',
       '2017_tweets', '2018_tweets', '2019_tweets', '2020_tweets',
       'publication_date_in_secs_std', 'retweet_count_entropy',
       'reply_count_entropy', 'favorite_count_mean', 'favorite_count_std',
       'num_hashtags_mean', 'num_hashtags_std', 'num_urls_mean',
       'num_urls_std', 'num_mentions_mean', 'num_mentions_std',
       'tweeting_regularity', 'max_daily_tweets', 'lang_discr'],
      dtype='object')"
